data;ano;mes;trimestre;produto;categoria;vendedor;regiao;quantidade;preco_unitario;valor_total
21/03/2024;2024;3;1;Meia;Calçados;Elisa;Sul;12;97;1164
19/02/2024;2024;2;1;Camiseta;Calçados;Ana;Norte;17;190;3230
25/12/2024;2024;12;4;Camiseta;Acessórios;Ana;Oeste;14;156;2184
02/01/2024;2024;1;1;Boné;Acessórios;Daniel;Centro-Oeste;14;193;2702
23/02/2024;2024;2;1;Meia;Calçados;Elisa;Sul;2;111;222
15/04/2024;2024;4;2;Bermuda;Calçados;Bruno;Centro-Oeste;11;176;1936
16/09/2024;2024;9;3;Tênis;Acessórios;Carla;Oeste;16;185;2960
05/11/2024;2024;11;4;Camiseta;Calçados;Ana;Oeste;19;197;3743
09/07/2024;2024;7;3;Boné;Vestuário;Carla;Leste;6;113;678
05/08/2024;2024;8;3;Meia;Calçados;Carla;Sul;19;142;2698
13/02/2024;2024;2;1;Tênis;Calçados;Daniel;Oeste;5;105;525
10/06/2024;2024;6;2;Meia;Vestuário;Elisa;Leste;4;151;604
20/07/2024;2024;7;3;Jaqueta;Vestuário;Ana;Leste;15;172;2580
26/09/2024;2024;9;3;Boné;Acessórios;Carla;Centro-Oeste;4;70;280
16/12/2024;2024;12;4;Tênis;Acessórios;Ana;Centro-Oeste;10;196;1960
30/10/2024;2024;10;4;Cinto;Vestuário;Bruno;Leste;3;31;93
27/09/2024;2024;9;3;Moletom;Vestuário;Daniel;Centro-Oeste;5;58;290
02/08/2024;2024;8;3;Moletom;Acessórios;Bruno;Oeste;6;134;804
08/09/2024;2024;9;3;Tênis;Calçados;Ana;Norte;8;80;640
08/07/2024;2024;7;3;Meia;Vestuário;Ana;Oeste;7;104;728
22/10/2024;2024;10;4;Boné;Acessórios;Elisa;Leste;10;39;390
31/07/2024;2024;7;3;Moletom;Calçados;Carla;Leste;6;171;1026
26/07/2024;2024;7;3;Boné;Vestuário;Carla;Oeste;14;80;1120
24/08/2024;2024;8;3;Moletom;Calçados;Bruno;Centro-Oeste;4;147;588
03/12/2024;2024;12;4;Jaqueta;Acessórios;Daniel;Centro-Oeste;13;150;1950
22/02/2024;2024;2;1;Meia;Vestuário;Carla;Leste;17;68;1156
06/10/2024;2024;10;4;Jaqueta;Calçados;Elisa;Sul;7;57;399
04/08/2024;2024;8;3;Moletom;Vestuário;Bruno;Centro-Oeste;4;32;128
08/09/2024;2024;9;3;Cinto;Calçados;Bruno;Oeste;14;113;1582
06/07/2024;2024;7;3;Cinto;Acessórios;Elisa;Centro-Oeste;3;184;552
10/02/2024;2024;2;1;Jaqueta;Acessórios;Daniel;Oeste;5;146;730
05/06/2024;2024;6;2;Cinto;Vestuário;Elisa;Leste;16;31;496
15/01/2024;2024;1;1;Moletom;Calçados;Daniel;Centro-Oeste;4;122;488
27/10/2024;2024;10;4;Tênis;Vestuário;Elisa;Oeste;2;195;390
05/03/2024;2024;3;1;Jaqueta;Vestuário;Elisa;Leste;18;160;2880
10/12/2024;2024;12;4;Calça Jeans;Calçados;Ana;Sul;19;173;3287
22/11/2024;2024;11;4;Meia;Calçados;Bruno;Oeste;19;123;2337
09/01/2024;2024;1;1;Cinto;Calçados;Elisa;Sul;17;69;1173
09/12/2024;2024;12;4;Cinto;Acessórios;Elisa;Sul;14;31;434
08/05/2024;2024;5;2;Camiseta;Vestuário;Carla;Norte;19;110;2090
15/05/2024;2024;5;2;Bermuda;Vestuário;Bruno;Centro-Oeste;13;198;2574
03/03/2024;2024;3;1;Jaqueta;Acessórios;Carla;Oeste;12;41;492
18/05/2024;2024;5;2;Regata;Calçados;Bruno;Sul;6;192;1152
21/03/2024;2024;3;1;Cinto;Acessórios;Carla;Norte;4;94;376
11/06/2024;2024;6;2;Meia;Acessórios;Elisa;Leste;19;84;1596
15/10/2024;2024;10;4;Calça Jeans;Acessórios;Elisa;Oeste;16;74;1184
17/09/2024;2024;9;3;Cinto;Vestuário;Ana;Sul;13;130;1690
18/08/2024;2024;8;3;Calça Jeans;Acessórios;Carla;Centro-Oeste;4;91;364
10/02/2024;2024;2;1;Moletom;Vestuário;Daniel;Norte;17;78;1326
28/01/2024;2024;1;1;Moletom;Vestuário;Ana;Sul;1;156;156
14/05/2024;2024;5;2;Bermuda;Vestuário;Carla;Centro-Oeste;18;182;3276
19/07/2024;2024;7;3;Tênis;Calçados;Carla;Sul;17;52;884
23/11/2024;2024;11;4;Regata;Vestuário;Ana;Oeste;15;181;2715
24/09/2024;2024;9;3;Camiseta;Vestuário;Elisa;Oeste;11;67;737
02/02/2024;2024;2;1;Bermuda;Calçados;Carla;Oeste;13;57;741
17/02/2024;2024;2;1;Boné;Vestuário;Elisa;Norte;1;50;50
02/03/2024;2024;3;1;Camiseta;Acessórios;Ana;Oeste;17;136;2312
03/08/2024;2024;8;3;Jaqueta;Acessórios;Elisa;Centro-Oeste;6;175;1050
19/10/2024;2024;10;4;Meia;Vestuário;Bruno;Sul;4;193;772
08/04/2024;2024;4;2;Boné;Calçados;Daniel;Leste;16;128;2048
20/06/2024;2024;6;2;Boné;Acessórios;Carla;Centro-Oeste;15;148;2220
25/12/2024;2024;12;4;Bermuda;Calçados;Daniel;Centro-Oeste;15;102;1530
01/08/2024;2024;8;3;Tênis;Calçados;Elisa;Oeste;6;151;906
04/02/2024;2024;2;1;Bermuda;Acessórios;Carla;Norte;15;59;885
14/08/2024;2024;8;3;Jaqueta;Calçados;Elisa;Sul;14;137;1918
10/04/2024;2024;4;2;Cinto;Acessórios;Bruno;Norte;11;127;1397
10/05/2024;2024;5;2;Cinto;Calçados;Ana;Sul;7;61;427
13/09/2024;2024;9;3;Tênis;Acessórios;Carla;Sul;9;185;1665
05/01/2024;2024;1;1;Jaqueta;Vestuário;Bruno;Norte;16;108;1728
05/08/2024;2024;8;3;Tênis;Acessórios;Bruno;Centro-Oeste;5;70;350
11/09/2024;2024;9;3;Calça Jeans;Acessórios;Carla;Sul;10;92;920
24/12/2024;2024;12;4;Cinto;Acessórios;Elisa;Norte;18;52;936
09/10/2024;2024;10;4;Boné;Acessórios;Bruno;Sul;3;133;399
25/07/2024;2024;7;3;Regata;Calçados;Daniel;Leste;13;104;1352
15/01/2024;2024;1;1;Meia;Vestuário;Bruno;Centro-Oeste;11;77;847
11/12/2024;2024;12;4;Jaqueta;Acessórios;Elisa;Oeste;17;189;3213
11/02/2024;2024;2;1;Camiseta;Calçados;Elisa;Sul;13;86;1118
27/06/2024;2024;6;2;Tênis;Vestuário;Daniel;Leste;6;147;882
03/03/2024;2024;3;1;Meia;Vestuário;Bruno;Oeste;17;129;2193
17/12/2024;2024;12;4;Camiseta;Vestuário;Elisa;Oeste;13;153;1989
18/08/2024;2024;8;3;Meia;Vestuário;Carla;Sul;19;190;3610
28/08/2024;2024;8;3;Regata;Acessórios;Ana;Norte;19;181;3439
21/02/2024;2024;2;1;Camiseta;Acessórios;Ana;Sul;10;196;1960
05/04/2024;2024;4;2;Bermuda;Calçados;Ana;Leste;3;63;189
09/08/2024;2024;8;3;Moletom;Calçados;Bruno;Oeste;14;185;2590
18/08/2024;2024;8;3;Bermuda;Calçados;Daniel;Sul;19;194;3686
24/08/2024;2024;8;3;Cinto;Vestuário;Elisa;Norte;5;36;180
22/05/2024;2024;5;2;Moletom;Vestuário;Carla;Sul;5;194;970
19/06/2024;2024;6;2;Bermuda;Acessórios;Carla;Centro-Oeste;17;85;1445
29/01/2024;2024;1;1;Moletom;Vestuário;Bruno;Norte;10;94;940
05/02/2024;2024;2;1;Moletom;Vestuário;Ana;Leste;5;76;380
13/01/2024;2024;1;1;Boné;Vestuário;Bruno;Oeste;4;177;708
08/06/2024;2024;6;2;Tênis;Calçados;Daniel;Sul;6;48;288
22/11/2024;2024;11;4;Tênis;Calçados;Daniel;Norte;4;186;744
05/07/2024;2024;7;3;Boné;Acessórios;Elisa;Centro-Oeste;7;175;1225
30/08/2024;2024;8;3;Meia;Vestuário;Elisa;Norte;7;192;1344
26/03/2024;2024;3;1;Calça Jeans;Vestuário;Daniel;Centro-Oeste;18;155;2790
10/10/2024;2024;10;4;Meia;Acessórios;Daniel;Leste;3;168;504
06/03/2024;2024;3;1;Camiseta;Vestuário;Daniel;Oeste;1;78;78
18/06/2024;2024;6;2;Camiseta;Vestuário;Bruno;Leste;4;142;568
14/02/2024;2024;2;1;Moletom;Calçados;Daniel;Sul;6;67;402
02/03/2024;2024;3;1;Bermuda;Acessórios;Carla;Norte;9;93;837
13/05/2024;2024;5;2;Bermuda;Acessórios;Ana;Centro-Oeste;14;98;1372
10/10/2024;2024;10;4;Tênis;Acessórios;Daniel;Centro-Oeste;12;165;1980
28/01/2024;2024;1;1;Jaqueta;Acessórios;Ana;Norte;4;191;764
17/04/2024;2024;4;2;Meia;Calçados;Bruno;Norte;12;145;1740
13/02/2024;2024;2;1;Cinto;Calçados;Ana;Sul;10;94;940
05/12/2024;2024;12;4;Regata;Vestuário;Bruno;Leste;7;60;420
12/10/2024;2024;10;4;Bermuda;Vestuário;Carla;Centro-Oeste;3;161;483
26/11/2024;2024;11;4;Regata;Vestuário;Bruno;Sul;14;142;1988
07/05/2024;2024;5;2;Moletom;Vestuário;Bruno;Leste;10;138;1380
13/12/2024;2024;12;4;Regata;Calçados;Elisa;Sul;16;98;1568
18/08/2024;2024;8;3;Cinto;Acessórios;Daniel;Centro-Oeste;16;187;2992
08/07/2024;2024;7;3;Boné;Calçados;Daniel;Norte;10;149;1490
12/08/2024;2024;8;3;Cinto;Vestuário;Carla;Norte;13;117;1521
09/10/2024;2024;10;4;Regata;Calçados;Carla;Leste;6;96;576
30/04/2024;2024;4;2;Cinto;Acessórios;Daniel;Oeste;12;104;1248
25/04/2024;2024;4;2;Calça Jeans;Acessórios;Elisa;Leste;9;74;666
20/08/2024;2024;8;3;Moletom;Calçados;Daniel;Oeste;13;33;429
15/09/2024;2024;9;3;Meia;Calçados;Elisa;Sul;4;183;732
24/12/2024;2024;12;4;Boné;Calçados;Carla;Sul;11;184;2024
16/07/2024;2024;7;3;Bermuda;Vestuário;Ana;Centro-Oeste;18;136;2448
16/05/2024;2024;5;2;Camiseta;Calçados;Carla;Oeste;11;80;880
13/11/2024;2024;11;4;Meia;Calçados;Carla;Centro-Oeste;4;79;316
13/06/2024;2024;6;2;Camiseta;Calçados;Bruno;Norte;18;35;630
12/08/2024;2024;8;3;Moletom;Acessórios;Bruno;Oeste;1;88;88
02/11/2024;2024;11;4;Boné;Acessórios;Bruno;Leste;7;154;1078
21/08/2024;2024;8;3;Tênis;Vestuário;Bruno;Norte;6;172;1032
20/06/2024;2024;6;2;Bermuda;Vestuário;Elisa;Norte;15;59;885
31/05/2024;2024;5;2;Calça Jeans;Acessórios;Daniel;Leste;18;199;3582
10/11/2024;2024;11;4;Tênis;Acessórios;Ana;Norte;11;151;1661
08/06/2024;2024;6;2;Moletom;Acessórios;Carla;Oeste;15;154;2310
05/04/2024;2024;4;2;Meia;Calçados;Elisa;Centro-Oeste;16;66;1056
20/08/2024;2024;8;3;Calça Jeans;Calçados;Ana;Norte;7;199;1393
28/06/2024;2024;6;2;Cinto;Acessórios;Elisa;Oeste;10;153;1530
22/04/2024;2024;4;2;Regata;Calçados;Elisa;Sul;12;130;1560
13/11/2024;2024;11;4;Calça Jeans;Calçados;Carla;Oeste;14;64;896
21/02/2024;2024;2;1;Moletom;Vestuário;Daniel;Centro-Oeste;5;116;580
24/09/2024;2024;9;3;Jaqueta;Acessórios;Bruno;Oeste;18;163;2934
21/10/2024;2024;10;4;Regata;Acessórios;Daniel;Leste;5;47;235
22/04/2024;2024;4;2;Camiseta;Calçados;Carla;Centro-Oeste;3;142;426
10/04/2024;2024;4;2;Bermuda;Acessórios;Carla;Sul;5;58;290
22/04/2024;2024;4;2;Camiseta;Vestuário;Carla;Leste;17;106;1802
21/03/2024;2024;3;1;Calça Jeans;Vestuário;Ana;Oeste;19;88;1672
05/07/2024;2024;7;3;Camiseta;Vestuário;Daniel;Centro-Oeste;19;155;2945
22/04/2024;2024;4;2;Moletom;Acessórios;Daniel;Sul;12;174;2088
02/01/2024;2024;1;1;Cinto;Acessórios;Elisa;Leste;9;138;1242
09/05/2024;2024;5;2;Meia;Acessórios;Elisa;Sul;1;51;51
07/08/2024;2024;8;3;Bermuda;Acessórios;Elisa;Oeste;18;97;1746
23/02/2024;2024;2;1;Camiseta;Acessórios;Carla;Sul;4;98;392
08/12/2024;2024;12;4;Camiseta;Vestuário;Daniel;Norte;10;194;1940
11/08/2024;2024;8;3;Calça Jeans;Calçados;Carla;Leste;7;78;546
12/08/2024;2024;8;3;Meia;Vestuário;Ana;Sul;1;170;170
05/05/2024;2024;5;2;Tênis;Acessórios;Elisa;Oeste;17;191;3247
09/05/2024;2024;5;2;Camiseta;Vestuário;Carla;Oeste;2;138;276
22/02/2024;2024;2;1;Moletom;Acessórios;Carla;Sul;11;115;1265
20/06/2024;2024;6;2;Jaqueta;Acessórios;Ana;Oeste;9;82;738
05/08/2024;2024;8;3;Bermuda;Vestuário;Bruno;Centro-Oeste;7;152;1064
08/06/2024;2024;6;2;Camiseta;Acessórios;Daniel;Centro-Oeste;17;116;1972
16/07/2024;2024;7;3;Moletom;Calçados;Bruno;Centro-Oeste;17;160;2720
03/09/2024;2024;9;3;Moletom;Acessórios;Elisa;Norte;2;71;142
19/11/2024;2024;11;4;Bermuda;Calçados;Carla;Sul;6;127;762
21/07/2024;2024;7;3;Tênis;Calçados;Ana;Norte;14;189;2646
02/07/2024;2024;7;3;Moletom;Acessórios;Ana;Oeste;6;138;828
02/05/2024;2024;5;2;Jaqueta;Vestuário;Daniel;Norte;2;80;160
11/09/2024;2024;9;3;Moletom;Calçados;Bruno;Oeste;1;114;114
20/10/2024;2024;10;4;Moletom;Vestuário;Daniel;Oeste;10;156;1560
06/10/2024;2024;10;4;Moletom;Calçados;Carla;Leste;5;50;250
20/11/2024;2024;11;4;Cinto;Acessórios;Daniel;Centro-Oeste;2;73;146
07/04/2024;2024;4;2;Cinto;Acessórios;Ana;Oeste;16;168;2688
16/07/2024;2024;7;3;Tênis;Calçados;Ana;Leste;2;132;264
27/08/2024;2024;8;3;Camiseta;Acessórios;Elisa;Centro-Oeste;10;97;970
23/05/2024;2024;5;2;Moletom;Calçados;Elisa;Oeste;2;158;316
06/04/2024;2024;4;2;Meia;Acessórios;Carla;Oeste;16;121;1936
19/07/2024;2024;7;3;Camiseta;Vestuário;Bruno;Norte;16;53;848
03/05/2024;2024;5;2;Tênis;Acessórios;Daniel;Norte;19;154;2926
05/07/2024;2024;7;3;Boné;Vestuário;Carla;Centro-Oeste;7;170;1190
21/11/2024;2024;11;4;Camiseta;Acessórios;Elisa;Oeste;12;140;1680
14/12/2024;2024;12;4;Camiseta;Vestuário;Daniel;Sul;15;127;1905
15/09/2024;2024;9;3;Regata;Acessórios;Elisa;Norte;8;168;1344
27/05/2024;2024;5;2;Calça Jeans;Vestuário;Daniel;Centro-Oeste;6;46;276
08/09/2024;2024;9;3;Regata;Calçados;Bruno;Oeste;10;128;1280
11/12/2024;2024;12;4;Jaqueta;Calçados;Carla;Oeste;3;111;333
26/05/2024;2024;5;2;Cinto;Vestuário;Daniel;Sul;19;133;2527
27/05/2024;2024;5;2;Cinto;Acessórios;Ana;Centro-Oeste;17;181;3077
17/12/2024;2024;12;4;Calça Jeans;Vestuário;Ana;Oeste;7;48;336
17/07/2024;2024;7;3;Bermuda;Acessórios;Daniel;Norte;4;194;776
03/11/2024;2024;11;4;Bermuda;Calçados;Daniel;Sul;14;114;1596
07/05/2024;2024;5;2;Tênis;Acessórios;Daniel;Centro-Oeste;15;37;555
08/02/2024;2024;2;1;Calça Jeans;Calçados;Ana;Sul;8;57;456
03/12/2024;2024;12;4;Camiseta;Acessórios;Ana;Norte;15;34;510
25/12/2024;2024;12;4;Bermuda;Acessórios;Daniel;Centro-Oeste;14;174;2436
08/05/2024;2024;5;2;Moletom;Acessórios;Elisa;Sul;9;130;1170
23/09/2024;2024;9;3;Meia;Vestuário;Elisa;Leste;8;193;1544
30/05/2024;2024;5;2;Camiseta;Vestuário;Bruno;Norte;17;147;2499
24/10/2024;2024;10;4;Jaqueta;Calçados;Carla;Norte;2;176;352
08/04/2024;2024;4;2;Moletom;Calçados;Elisa;Norte;3;93;279
19/09/2024;2024;9;3;Moletom;Vestuário;Ana;Leste;8;120;960
08/09/2024;2024;9;3;Calça Jeans;Calçados;Elisa;Leste;12;146;1752
23/05/2024;2024;5;2;Tênis;Vestuário;Bruno;Oeste;1;127;127
11/12/2024;2024;12;4;Jaqueta;Acessórios;Bruno;Sul;10;40;400
21/04/2024;2024;4;2;Bermuda;Calçados;Carla;Oeste;3;83;249
29/02/2024;2024;2;1;Calça Jeans;Calçados;Elisa;Sul;6;76;456
02/01/2024;2024;1;1;Bermuda;Vestuário;Ana;Leste;7;169;1183
30/10/2024;2024;10;4;Calça Jeans;Calçados;Ana;Leste;18;178;3204
10/09/2024;2024;9;3;Calça Jeans;Calçados;Daniel;Oeste;11;168;1848
19/05/2024;2024;5;2;Calça Jeans;Acessórios;Ana;Centro-Oeste;19;34;646
06/02/2024;2024;2;1;Tênis;Calçados;Carla;Oeste;5;49;245
08/06/2024;2024;6;2;Calça Jeans;Acessórios;Carla;Sul;19;198;3762
09/01/2024;2024;1;1;Boné;Vestuário;Ana;Oeste;11;75;825
20/08/2024;2024;8;3;Meia;Calçados;Ana;Norte;12;41;492
08/04/2024;2024;4;2;Bermuda;Acessórios;Daniel;Sul;10;99;990
26/05/2024;2024;5;2;Camiseta;Vestuário;Ana;Sul;8;46;368
30/10/2024;2024;10;4;Regata;Calçados;Daniel;Centro-Oeste;9;144;1296
26/07/2024;2024;7;3;Jaqueta;Vestuário;Daniel;Leste;4;176;704
10/05/2024;2024;5;2;Cinto;Calçados;Ana;Sul;5;183;915
31/05/2024;2024;5;2;Tênis;Vestuário;Bruno;Leste;8;77;616
23/02/2024;2024;2;1;Camiseta;Vestuário;Bruno;Oeste;9;137;1233
29/04/2024;2024;4;2;Moletom;Acessórios;Daniel;Norte;15;81;1215
09/06/2024;2024;6;2;Boné;Vestuário;Ana;Centro-Oeste;15;125;1875
25/04/2024;2024;4;2;Cinto;Calçados;Bruno;Leste;16;99;1584
15/03/2024;2024;3;1;Regata;Calçados;Ana;Sul;14;131;1834
22/04/2024;2024;4;2;Camiseta;Acessórios;Ana;Leste;8;104;832
13/04/2024;2024;4;2;Cinto;Calçados;Ana;Sul;18;190;3420
05/12/2024;2024;12;4;Camiseta;Calçados;Elisa;Leste;10;180;1800
10/09/2024;2024;9;3;Boné;Calçados;Ana;Sul;6;172;1032
14/08/2024;2024;8;3;Regata;Vestuário;Elisa;Oeste;12;184;2208
21/04/2024;2024;4;2;Moletom;Vestuário;Daniel;Sul;2;111;222
08/04/2024;2024;4;2;Calça Jeans;Calçados;Bruno;Sul;7;121;847
01/06/2024;2024;6;2;Bermuda;Acessórios;Bruno;Norte;16;33;528
14/12/2024;2024;12;4;Moletom;Vestuário;Bruno;Sul;3;164;492
31/12/2024;2024;12;4;Calça Jeans;Acessórios;Bruno;Norte;13;138;1794
03/12/2024;2024;12;4;Tênis;Calçados;Bruno;Centro-Oeste;3;192;576
12/07/2024;2024;7;3;Meia;Calçados;Bruno;Norte;18;77;1386
05/11/2024;2024;11;4;Jaqueta;Vestuário;Bruno;Oeste;11;102;1122
11/06/2024;2024;6;2;Jaqueta;Calçados;Daniel;Norte;8;101;808
26/07/2024;2024;7;3;Bermuda;Vestuário;Ana;Centro-Oeste;6;145;870
17/06/2024;2024;6;2;Regata;Calçados;Carla;Oeste;1;110;110
09/06/2024;2024;6;2;Boné;Calçados;Elisa;Leste;1;110;110
08/03/2024;2024;3;1;Regata;Vestuário;Carla;Leste;8;142;1136
15/10/2024;2024;10;4;Boné;Vestuário;Carla;Norte;5;125;625
03/10/2024;2024;10;4;Regata;Vestuário;Ana;Norte;16;101;1616
30/10/2024;2024;10;4;Meia;Calçados;Ana;Centro-Oeste;11;176;1936
14/05/2024;2024;5;2;Tênis;Calçados;Ana;Centro-Oeste;5;92;460
13/07/2024;2024;7;3;Tênis;Acessórios;Bruno;Sul;4;67;268
07/05/2024;2024;5;2;Calça Jeans;Vestuário;Daniel;Centro-Oeste;6;96;576
02/02/2024;2024;2;1;Cinto;Calçados;Bruno;Sul;14;98;1372
24/06/2024;2024;6;2;Tênis;Calçados;Daniel;Oeste;19;42;798
22/01/2024;2024;1;1;Tênis;Vestuário;Daniel;Norte;9;60;540
25/08/2024;2024;8;3;Moletom;Acessórios;Carla;Oeste;12;143;1716
06/06/2024;2024;6;2;Moletom;Vestuário;Carla;Centro-Oeste;11;51;561
07/02/2024;2024;2;1;Calça Jeans;Acessórios;Daniel;Oeste;14;122;1708
17/08/2024;2024;8;3;Cinto;Calçados;Daniel;Oeste;16;96;1536
30/12/2024;2024;12;4;Bermuda;Acessórios;Bruno;Oeste;1;83;83
20/02/2024;2024;2;1;Moletom;Calçados;Bruno;Centro-Oeste;13;167;2171
20/09/2024;2024;9;3;Bermuda;Vestuário;Carla;Oeste;13;71;923
09/10/2024;2024;10;4;Camiseta;Vestuário;Ana;Sul;2;93;186
27/01/2024;2024;1;1;Moletom;Vestuário;Daniel;Centro-Oeste;4;155;620
13/08/2024;2024;8;3;Meia;Acessórios;Bruno;Oeste;6;50;300
03/10/2024;2024;10;4;Cinto;Calçados;Carla;Centro-Oeste;5;198;990
12/10/2024;2024;10;4;Calça Jeans;Vestuário;Bruno;Leste;3;181;543
06/04/2024;2024;4;2;Camiseta;Vestuário;Daniel;Sul;1;64;64
10/10/2024;2024;10;4;Cinto;Calçados;Daniel;Oeste;4;59;236
12/11/2024;2024;11;4;Meia;Vestuário;Elisa;Leste;2;86;172
30/10/2024;2024;10;4;Cinto;Calçados;Ana;Leste;5;76;380
26/05/2024;2024;5;2;Meia;Calçados;Elisa;Centro-Oeste;3;192;576
04/01/2024;2024;1;1;Meia;Calçados;Carla;Leste;9;48;432
04/02/2024;2024;2;1;Bermuda;Calçados;Bruno;Sul;6;143;858
10/07/2024;2024;7;3;Regata;Calçados;Carla;Sul;18;37;666
18/02/2024;2024;2;1;Camiseta;Acessórios;Daniel;Norte;6;55;330
17/01/2024;2024;1;1;Cinto;Vestuário;Elisa;Sul;19;142;2698
20/06/2024;2024;6;2;Boné;Acessórios;Elisa;Leste;12;100;1200
07/08/2024;2024;8;3;Camiseta;Vestuário;Elisa;Sul;11;59;649
06/06/2024;2024;6;2;Regata;Acessórios;Carla;Centro-Oeste;2;164;328
15/02/2024;2024;2;1;Camiseta;Calçados;Daniel;Norte;15;96;1440
06/01/2024;2024;1;1;Tênis;Vestuário;Bruno;Leste;12;94;1128
