id_venda;id_produto;id_vendedor;data;quantidade;preco_unitario;valor_total;custo;lucro
66;10;5;07/03/2023;14;183;2562;1190;1372
67;4;4;08/03/2023;15;128;1920;1140;780
68;8;2;09/03/2023;16;81;1296;592;704
69;7;1;10/03/2023;13;129;1677;780;897
70;9;5;11/03/2023;17;146;2482;1190;1292
71;8;4;12/03/2023;8;147;1176;168;1008
72;5;4;13/03/2023;2;36;72;150;-78
73;2;2;14/03/2023;5;75;375;85;290
74;5;5;15/03/2023;6;75;450;312;138
75;8;4;16/03/2023;12;129;1548;1176;372
76;10;1;17/03/2023;18;173;3114;864;2250
77;9;2;18/03/2023;1;181;181;58;123
78;9;5;19/03/2023;17;83;1411;748;663
79;1;2;20/03/2023;11;91;1001;341;660
80;9;1;21/03/2023;10;158;1580;730;850
81;7;5;22/03/2023;19;78;1482;456;1026
82;9;2;23/03/2023;14;54;756;1372;-616
83;8;3;24/03/2023;10;39;390;320;70
84;1;1;25/03/2023;15;147;2205;885;1320
85;8;1;26/03/2023;19;173;3287;1387;1900
86;8;1;27/03/2023;4;186;744;304;440
87;3;3;28/03/2023;2;121;242;146;96
88;1;3;29/03/2023;9;163;1467;567;900
89;8;4;30/03/2023;10;173;1730;770;960
90;3;2;31/03/2023;11;177;1947;506;1441
91;3;4;01/04/2023;14;109;1526;336;1190
92;1;2;02/04/2023;7;100;700;175;525
93;5;3;03/04/2023;15;107;1605;1260;345
94;10;3;04/04/2023;19;72;1368;1444;-76
95;7;4;05/04/2023;15;183;2745;915;1830
96;10;5;06/04/2023;8;119;952;384;568
97;9;4;07/04/2023;11;107;1177;341;836
98;7;2;08/04/2023;9;190;1710;612;1098
99;9;4;09/04/2023;15;55;825;1350;-525
100;8;1;10/04/2023;1;150;150;99;51
101;2;2;11/04/2023;1;74;74;54;20
102;1;2;12/04/2023;19;92;1748;627;1121
103;7;5;13/04/2023;3;97;291;243;48
104;7;3;14/04/2023;10;183;1830;960;870
105;8;2;15/04/2023;8;31;248;536;-288
106;5;3;16/04/2023;15;171;2565;1170;1395
107;3;4;17/04/2023;10;137;1370;970;400
108;8;1;18/04/2023;1;59;59;61;-2
109;6;5;19/04/2023;18;78;1404;360;1044
110;3;3;20/04/2023;2;169;338;60;278
111;1;2;21/04/2023;19;73;1387;1634;-247
112;3;3;22/04/2023;13;190;2470;416;2054
113;5;2;23/04/2023;1;42;42;66;-24
114;3;3;24/04/2023;2;107;214;124;90
115;1;2;25/04/2023;16;155;2480;912;1568
116;5;4;26/04/2023;15;127;1905;795;1110
117;10;2;27/04/2023;13;55;715;819;-104
118;7;2;28/04/2023;16;178;2848;416;2432
119;7;1;29/04/2023;17;185;3145;408;2737
120;9;2;30/04/2023;7;77;539;595;-56
121;10;1;01/05/2023;17;197;3349;1173;2176
122;10;5;02/05/2023;7;95;665;105;560
123;3;1;03/05/2023;13;116;1508;819;689
124;7;4;04/05/2023;5;108;540;250;290
125;1;1;05/05/2023;17;52;884;595;289
126;4;5;06/05/2023;3;110;330;153;177
127;4;4;07/05/2023;7;77;539;266;273
128;5;3;08/05/2023;17;153;2601;1173;1428
129;7;3;09/05/2023;7;159;1113;273;840
130;7;1;10/05/2023;1;113;113;21;92
131;4;1;11/05/2023;17;49;833;1615;-782
132;7;5;12/05/2023;17;75;1275;1445;-170
133;3;5;13/05/2023;11;160;1760;935;825
134;6;2;14/05/2023;3;41;123;114;9
135;2;5;15/05/2023;15;69;1035;375;660
136;10;2;16/05/2023;11;95;1045;957;88
137;9;4;17/05/2023;16;129;2064;416;1648
138;5;1;18/05/2023;9;107;963;441;522
139;6;4;19/05/2023;1;45;45;77;-32
140;4;5;20/05/2023;16;112;1792;1312;480
141;10;4;21/05/2023;9;191;1719;639;1080
142;7;4;22/05/2023;19;73;1387;513;874
143;9;4;23/05/2023;12;163;1956;444;1512
144;7;5;24/05/2023;19;129;2451;1843;608
145;1;4;25/05/2023;9;51;459;477;-18
146;1;2;26/05/2023;7;47;329;658;-329
147;9;5;27/05/2023;14;41;574;364;210
148;9;4;28/05/2023;19;152;2888;912;1976
149;4;5;29/05/2023;19;146;2774;1615;1159
150;9;3;30/05/2023;2;80;160;178;-18
151;3;2;31/05/2023;9;100;900;405;495
152;7;4;01/06/2023;13;77;1001;988;13
153;6;3;02/06/2023;15;48;720;405;315
154;8;3;03/06/2023;3;35;105;135;-30
155;9;5;04/06/2023;11;113;1243;176;1067
156;5;3;05/06/2023;14;184;2576;406;2170
157;1;2;06/06/2023;8;82;656;568;88
158;3;2;07/06/2023;18;136;2448;1602;846
159;10;1;08/06/2023;19;130;2470;912;1558
160;8;2;09/06/2023;16;77;1232;1312;-80
161;6;3;10/06/2023;2;164;328;178;150
162;8;2;11/06/2023;8;98;784;344;440
163;9;5;12/06/2023;6;40;240;480;-240
164;4;1;13/06/2023;12;172;2064;360;1704
165;1;3;14/06/2023;15;160;2400;795;1605
166;1;1;15/06/2023;8;151;1208;728;480
167;10;3;16/06/2023;4;98;392;204;188
168;4;5;17/06/2023;15;52;780;1425;-645
169;7;1;18/06/2023;17;66;1122;595;527
170;2;4;19/06/2023;13;38;494;754;-260
171;3;3;20/06/2023;18;44;792;594;198
172;1;4;21/06/2023;2;160;320;170;150
173;5;1;22/06/2023;13;122;1586;286;1300
174;1;4;23/06/2023;13;46;598;1183;-585
175;8;4;24/06/2023;15;183;2745;1200;1545
176;1;1;25/06/2023;10;178;1780;550;1230
177;1;5;26/06/2023;3;101;303;267;36
178;2;4;27/06/2023;19;178;3382;1596;1786
179;2;4;28/06/2023;3;150;450;225;225
180;6;5;29/06/2023;14;40;560;560;0
181;7;4;30/06/2023;8;195;1560;680;880
182;5;4;01/07/2023;4;101;404;388;16
183;1;4;02/07/2023;11;135;1485;924;561
184;1;2;03/07/2023;11;154;1694;473;1221
185;3;5;04/07/2023;11;64;704;880;-176
186;2;4;05/07/2023;2;148;296;66;230
187;5;5;06/07/2023;17;43;731;1394;-663
188;10;3;07/07/2023;9;43;387;648;-261
189;6;3;08/07/2023;2;39;78;168;-90
190;7;4;09/07/2023;15;169;2535;1065;1470
191;4;5;10/07/2023;16;67;1072;816;256
192;7;5;11/07/2023;4;137;548;300;248
193;8;5;12/07/2023;8;148;1184;352;832
194;1;2;13/07/2023;9;63;567;765;-198
195;6;3;14/07/2023;5;198;990;435;555
196;8;5;15/07/2023;16;39;624;624;0
197;5;5;16/07/2023;13;151;1963;1027;936
198;4;2;17/07/2023;7;174;1218;140;1078
199;2;2;18/07/2023;17;174;2958;544;2414
200;6;5;19/07/2023;3;144;432;72;360
201;6;1;20/07/2023;5;30;150;125;25
202;1;5;21/07/2023;19;41;779;1501;-722
203;9;5;22/07/2023;12;132;1584;1092;492
204;6;2;23/07/2023;7;33;231;686;-455
205;3;2;24/07/2023;9;199;1791;711;1080
206;4;5;25/07/2023;6;170;1020;396;624
207;4;5;26/07/2023;17;127;2159;1377;782
208;3;5;27/07/2023;16;135;2160;1536;624
209;10;2;28/07/2023;3;114;342;276;66
210;3;5;29/07/2023;4;150;600;180;420
211;3;5;30/07/2023;10;161;1610;310;1300
212;4;4;31/07/2023;5;111;555;345;210
213;7;1;01/08/2023;10;48;480;500;-20
214;4;3;02/08/2023;12;159;1908;480;1428
215;9;1;03/08/2023;10;41;410;670;-260
216;1;4;04/08/2023;13;110;1430;403;1027
217;8;3;05/08/2023;11;103;1133;429;704
218;7;5;06/08/2023;16;127;2032;256;1776
219;2;4;07/08/2023;8;35;280;152;128
220;8;5;08/08/2023;8;165;1320;144;1176
221;1;2;09/08/2023;8;154;1232;400;832
222;9;4;10/08/2023;13;80;1040;260;780
223;9;2;11/08/2023;2;40;80;70;10
224;2;4;12/08/2023;12;156;1872;1092;780
225;7;4;13/08/2023;10;169;1690;400;1290
226;10;2;14/08/2023;12;102;1224;828;396
227;3;3;15/08/2023;11;31;341;583;-242
228;7;1;16/08/2023;15;37;555;1470;-915
229;10;5;17/08/2023;16;168;2688;752;1936
230;9;4;18/08/2023;17;153;2601;476;2125
231;4;5;19/08/2023;2;82;164;140;24
232;1;2;20/08/2023;18;39;702;1710;-1008
233;2;5;21/08/2023;12;141;1692;420;1272
234;1;2;22/08/2023;19;37;703;1140;-437
235;5;5;23/08/2023;18;65;1170;540;630
236;5;1;24/08/2023;17;135;2295;510;1785
237;7;1;25/08/2023;6;43;258;588;-330
238;9;1;26/08/2023;15;115;1725;645;1080
239;9;1;27/08/2023;3;178;534;66;468
240;3;1;28/08/2023;6;79;474;102;372
241;3;1;29/08/2023;3;196;588;99;489
242;3;2;30/08/2023;1;49;49;80;-31
243;4;4;31/08/2023;13;116;1508;1209;299
244;8;5;01/09/2023;14;164;2296;1232;1064
245;6;1;02/09/2023;13;166;2158;1248;910
246;8;2;03/09/2023;4;158;632;144;488
247;1;2;04/09/2023;7;183;1281;420;861
248;8;2;05/09/2023;10;195;1950;270;1680
249;4;4;06/09/2023;7;67;469;329;140
250;1;5;07/09/2023;15;73;1095;285;810
251;8;4;08/09/2023;15;115;1725;1365;360
252;4;3;09/09/2023;4;73;292;164;128
253;6;2;10/09/2023;6;103;618;552;66
254;8;3;11/09/2023;5;148;740;190;550
255;4;1;12/09/2023;12;151;1812;972;840
256;3;1;13/09/2023;1;163;163;77;86
257;9;4;14/09/2023;8;174;1392;496;896
258;3;5;15/09/2023;1;80;80;77;3
259;9;3;16/09/2023;5;67;335;460;-125
260;2;5;17/09/2023;6;181;1086;156;930
261;2;4;18/09/2023;3;80;240;126;114
262;2;1;19/09/2023;15;39;585;870;-285
263;6;5;20/09/2023;5;149;745;285;460
264;3;5;21/09/2023;14;178;2492;434;2058
265;9;1;22/09/2023;18;99;1782;972;810
266;4;3;23/09/2023;16;114;1824;1008;816
267;1;1;24/09/2023;6;86;516;594;-78
268;4;5;25/09/2023;14;155;2170;994;1176
269;1;3;26/09/2023;8;68;544;784;-240
270;5;3;27/09/2023;7;62;434;546;-112
271;4;1;28/09/2023;8;47;376;712;-336
272;8;5;29/09/2023;13;86;1118;923;195
273;8;4;30/09/2023;6;125;750;528;222
274;7;5;01/10/2023;18;77;1386;1584;-198
275;3;2;02/10/2023;2;71;142;168;-26
276;1;4;03/10/2023;8;56;448;720;-272
277;1;3;04/10/2023;11;103;1133;627;506
278;3;4;05/10/2023;1;139;139;37;102
279;6;3;06/10/2023;6;199;1194;246;948
280;7;3;07/10/2023;16;61;976;1152;-176
281;6;4;08/10/2023;12;55;660;612;48
282;6;3;09/10/2023;11;54;594;220;374
283;6;3;10/10/2023;10;104;1040;790;250
284;3;2;11/10/2023;3;52;156;60;96
285;6;5;12/10/2023;13;86;1118;832;286
286;8;5;13/10/2023;3;155;465;108;357
287;2;2;14/10/2023;15;116;1740;585;1155
288;5;4;15/10/2023;16;60;960;1488;-528
289;1;1;16/10/2023;13;93;1209;1118;91
290;1;1;17/10/2023;17;62;1054;1105;-51
291;5;1;18/10/2023;3;31;93;186;-93
292;3;2;19/10/2023;11;47;517;924;-407
293;4;2;20/10/2023;19;190;3610;1501;2109
294;3;3;21/10/2023;11;113;1243;814;429
295;1;1;22/10/2023;16;64;1024;960;64
296;1;4;23/10/2023;3;143;429;150;279
297;5;4;24/10/2023;6;175;1050;432;618
298;6;1;25/10/2023;14;139;1946;1260;686
299;3;1;26/10/2023;18;117;2106;936;1170
300;9;1;27/10/2023;17;101;1717;425;1292
301;5;2;28/10/2023;4;154;616;104;512
302;8;2;29/10/2023;15;59;885;840;45
303;1;2;30/10/2023;11;82;902;583;319
304;5;5;31/10/2023;3;167;501;255;246
305;3;4;01/11/2023;3;116;348;75;273
306;1;4;02/11/2023;16;168;2688;800;1888
307;4;3;03/11/2023;5;193;965;330;635
308;5;2;04/11/2023;10;190;1900;450;1450
309;7;5;05/11/2023;19;42;798;893;-95
310;1;5;06/11/2023;4;69;276;108;168
311;3;4;07/11/2023;19;118;2242;608;1634
312;2;2;08/11/2023;11;97;1067;605;462
313;9;3;09/11/2023;2;71;142;144;-2
314;10;2;10/11/2023;10;176;1760;700;1060
315;6;1;11/11/2023;11;123;1353;418;935
316;10;2;12/11/2023;16;48;768;1392;-624
317;3;1;13/11/2023;19;52;988;855;133
318;8;1;14/11/2023;11;83;913;759;154
319;8;3;15/11/2023;14;94;1316;336;980
320;2;4;16/11/2023;2;169;338;148;190
321;6;2;17/11/2023;5;53;265;80;185
322;7;1;18/11/2023;5;63;315;145;170
323;2;2;19/11/2023;19;82;1558;323;1235
324;10;4;20/11/2023;12;165;1980;684;1296
325;2;4;21/11/2023;18;47;846;810;36
326;10;5;22/11/2023;4;86;344;336;8
327;1;4;23/11/2023;17;141;2397;1377;1020
328;8;3;24/11/2023;10;34;340;700;-360
329;1;1;25/11/2023;6;183;1098;462;636
330;9;5;26/11/2023;14;187;2618;1246;1372
331;6;3;27/11/2023;11;42;462;319;143
332;7;2;28/11/2023;11;112;1232;264;968
333;10;1;29/11/2023;18;58;1044;936;108
334;7;4;30/11/2023;18;32;576;1098;-522
335;10;1;01/12/2023;11;119;1309;781;528
336;3;2;02/12/2023;12;133;1596;768;828
337;2;5;03/12/2023;5;152;760;425;335
338;9;5;04/12/2023;9;105;945;261;684
339;8;5;05/12/2023;9;159;1431;288;1143
340;10;4;06/12/2023;10;137;1370;960;410
341;7;3;07/12/2023;19;185;3515;304;3211
342;9;3;08/12/2023;1;111;111;98;13
343;4;1;09/12/2023;7;106;742;399;343
344;4;4;10/12/2023;4;31;124;160;-36
345;1;5;11/12/2023;1;156;156;85;71
346;8;5;12/12/2023;15;164;2460;780;1680
347;3;2;13/12/2023;8;55;440;448;-8
348;7;2;14/12/2023;12;117;1404;228;1176
349;2;5;15/12/2023;18;45;810;450;360
350;2;5;16/12/2023;15;180;2700;1185;1515
351;7;4;17/12/2023;17;197;3349;816;2533
352;6;3;18/12/2023;14;102;1428;210;1218
353;3;2;19/12/2023;14;61;854;1358;-504
354;9;3;20/12/2023;18;44;792;288;504
355;10;4;21/12/2023;18;170;3060;1782;1278
356;6;5;22/12/2023;16;34;544;544;0
357;10;3;23/12/2023;1;103;103;75;28
358;10;5;24/12/2023;11;81;891;385;506
359;6;5;25/12/2023;15;106;1590;1230;360
360;1;1;26/12/2023;12;198;2376;312;2064
361;4;3;27/12/2023;8;139;1112;288;824
362;10;3;28/12/2023;6;172;1032;204;828
363;6;5;29/12/2023;3;135;405;288;117
364;6;4;30/12/2023;13;156;2028;195;1833
365;5;1;31/12/2023;13;36;468;572;-104
366;1;5;01/01/2024;2;69;138;76;62
367;8;2;02/01/2024;5;185;925;140;785
368;5;2;03/01/2024;17;189;3213;850;2363
369;5;1;04/01/2024;6;128;768;498;270
370;7;4;05/01/2024;2;172;344;178;166
371;4;5;06/01/2024;4;114;456;152;304
372;6;3;07/01/2024;11;94;1034;814;220
373;4;1;08/01/2024;8;161;1288;552;736
374;3;4;09/01/2024;12;40;480;1092;-612
375;7;3;10/01/2024;8;137;1096;752;344
376;8;2;11/01/2024;11;55;605;418;187
377;4;2;12/01/2024;8;194;1552;728;824
378;2;3;13/01/2024;8;180;1440;304;1136
379;10;1;14/01/2024;17;114;1938;1156;782
380;3;2;15/01/2024;16;197;3152;640;2512
381;1;5;16/01/2024;14;180;2520;1120;1400
382;8;3;17/01/2024;11;152;1672;1034;638
383;3;3;18/01/2024;7;173;1211;364;847
384;10;2;19/01/2024;16;97;1552;1264;288
385;7;1;20/01/2024;13;133;1729;1157;572
386;10;5;21/01/2024;15;109;1635;975;660
387;5;1;22/01/2024;16;188;3008;784;2224
388;10;4;23/01/2024;9;82;738;513;225
389;5;4;24/01/2024;3;135;405;129;276
390;7;2;25/01/2024;19;182;3458;969;2489
391;9;2;26/01/2024;5;73;365;475;-110
392;5;2;27/01/2024;10;169;1690;720;970
393;1;4;28/01/2024;17;119;2023;1156;867
394;10;1;29/01/2024;15;130;1950;795;1155
395;10;1;30/01/2024;8;126;1008;448;560
396;1;2;31/01/2024;15;38;570;630;-60
397;2;5;01/02/2024;14;41;574;602;-28
398;6;1;02/02/2024;7;98;686;399;287
399;9;4;03/02/2024;12;57;684;204;480
400;8;3;04/02/2024;17;85;1445;408;1037
401;5;3;05/02/2024;17;128;2176;1241;935
402;1;3;06/02/2024;10;139;1390;280;1110
403;7;5;07/02/2024;19;106;2014;1710;304
404;5;2;08/02/2024;14;132;1848;854;994
405;6;4;09/02/2024;11;135;1485;616;869
406;7;5;10/02/2024;2;138;276;92;184
407;3;4;11/02/2024;18;141;2538;828;1710
408;10;4;12/02/2024;7;87;609;392;217
409;3;2;13/02/2024;12;107;1284;552;732
410;5;3;14/02/2024;2;104;208;80;128
411;6;2;15/02/2024;18;71;1278;270;1008
412;9;5;16/02/2024;6;195;1170;420;750
413;5;5;17/02/2024;10;97;970;160;810
414;1;5;18/02/2024;15;62;930;1425;-495
415;4;2;19/02/2024;5;100;500;220;280
416;5;4;20/02/2024;3;85;255;255;0
417;10;4;21/02/2024;5;134;670;330;340
418;10;1;22/02/2024;8;130;1040;184;856
419;5;5;23/02/2024;8;80;640;288;352
420;7;4;24/02/2024;8;103;824;384;440
421;4;1;25/02/2024;12;150;1800;756;1044
422;1;4;26/02/2024;8;172;1376;120;1256
423;5;5;27/02/2024;11;195;2145;957;1188
424;7;3;28/02/2024;14;172;2408;1372;1036
425;10;5;29/02/2024;8;34;272;536;-264
426;10;2;01/03/2024;10;112;1120;970;150
427;6;4;02/03/2024;7;80;560;378;182
428;5;4;03/03/2024;17;39;663;1003;-340
429;4;2;04/03/2024;4;169;676;328;348
430;2;2;05/03/2024;13;33;429;299;130
431;4;3;06/03/2024;4;124;496;144;352
432;10;4;07/03/2024;5;175;875;160;715
433;10;4;08/03/2024;4;109;436;360;76
434;3;3;09/03/2024;18;65;1170;1026;144
435;10;1;10/03/2024;6;54;324;318;6
436;1;3;11/03/2024;2;127;254;174;80
437;8;5;12/03/2024;11;193;2123;220;1903
438;5;4;13/03/2024;14;130;1820;1358;462
439;4;2;14/03/2024;5;38;190;310;-120
440;8;5;15/03/2024;6;90;540;126;414
441;7;4;16/03/2024;10;82;820;940;-120
442;2;3;17/03/2024;8;175;1400;664;736
443;1;5;18/03/2024;14;192;2688;420;2268
444;4;4;19/03/2024;3;92;276;45;231
445;8;1;20/03/2024;12;150;1800;612;1188
446;2;1;21/03/2024;16;134;2144;1552;592
447;3;2;22/03/2024;17;33;561;867;-306
448;1;4;23/03/2024;1;122;122;95;27
449;1;1;24/03/2024;10;198;1980;780;1200
450;3;3;25/03/2024;10;57;570;760;-190
451;5;4;26/03/2024;2;199;398;172;226
452;3;3;27/03/2024;9;109;981;675;306
453;1;3;28/03/2024;13;105;1365;611;754
454;1;1;29/03/2024;16;145;2320;1280;1040
455;8;4;30/03/2024;18;98;1764;792;972
456;10;5;31/03/2024;19;127;2413;646;1767
457;2;1;01/04/2024;12;30;360;888;-528
458;3;1;02/04/2024;8;196;1568;768;800
459;2;4;03/04/2024;17;125;2125;1496;629
460;3;4;04/04/2024;15;46;690;570;120
461;7;3;05/04/2024;10;141;1410;180;1230
462;1;4;06/04/2024;15;120;1800;765;1035
463;10;3;07/04/2024;15;117;1755;270;1485
464;8;1;08/04/2024;7;192;1344;637;707
465;10;2;09/04/2024;13;199;2587;1183;1404
466;10;5;10/04/2024;17;196;3332;544;2788
467;10;1;11/04/2024;9;119;1071;720;351
468;2;4;12/04/2024;8;78;624;496;128
469;3;5;13/04/2024;18;67;1206;846;360
470;9;2;14/04/2024;13;180;2340;936;1404
471;7;2;15/04/2024;16;179;2864;1552;1312
472;4;3;16/04/2024;9;161;1449;783;666
473;10;5;17/04/2024;12;88;1056;504;552
474;5;3;18/04/2024;12;97;1164;588;576
475;2;1;19/04/2024;6;159;954;144;810
476;8;5;20/04/2024;19;78;1482;1501;-19
477;4;1;21/04/2024;7;155;1085;392;693
478;9;3;22/04/2024;3;188;564;297;267
479;5;5;23/04/2024;16;140;2240;368;1872
480;9;3;24/04/2024;18;197;3546;1332;2214
481;4;5;25/04/2024;16;77;1232;464;768
482;10;3;26/04/2024;7;80;560;497;63
483;5;2;27/04/2024;4;72;288;332;-44
484;9;3;28/04/2024;8;127;1016;288;728
485;8;2;29/04/2024;13;153;1989;1014;975
486;3;3;30/04/2024;13;109;1417;715;702
487;1;5;01/05/2024;17;140;2380;1445;935
488;3;5;02/05/2024;17;172;2924;1190;1734
489;4;5;03/05/2024;5;56;280;185;95
490;2;4;04/05/2024;6;187;1122;234;888
491;1;1;05/05/2024;19;193;3667;380;3287
492;7;5;06/05/2024;13;142;1846;624;1222
493;8;2;07/05/2024;14;115;1610;1078;532
494;7;5;08/05/2024;4;143;572;92;480
495;5;4;09/05/2024;7;153;1071;518;553
496;1;2;10/05/2024;8;78;624;504;120
497;7;4;11/05/2024;13;105;1365;845;520
498;7;2;12/05/2024;6;84;504;444;60
499;9;3;13/05/2024;6;85;510;504;6
500;3;1;14/05/2024;3;124;372;153;219
501;9;1;15/05/2024;3;73;219;135;84
502;1;4;16/05/2024;13;188;2444;715;1729
503;1;1;17/05/2024;2;116;232;152;80
504;4;4;18/05/2024;16;113;1808;1152;656
505;9;4;19/05/2024;6;180;1080;168;912
506;6;4;20/05/2024;8;185;1480;400;1080
507;3;1;21/05/2024;8;45;360;400;-40
508;1;4;22/05/2024;6;194;1164;558;606
509;4;1;23/05/2024;14;178;2492;308;2184
510;9;4;24/05/2024;3;174;522;120;402
511;3;5;25/05/2024;10;66;660;500;160
512;9;4;26/05/2024;3;106;318;186;132
513;7;2;27/05/2024;12;176;2112;1188;924
514;4;4;28/05/2024;17;187;3179;714;2465
515;3;3;29/05/2024;5;74;370;410;-40
516;10;4;30/05/2024;9;175;1575;684;891
517;5;2;31/05/2024;7;91;637;658;-21
518;5;2;01/06/2024;4;193;772;360;412
519;3;1;02/06/2024;13;129;1677;1222;455
520;9;5;03/06/2024;13;81;1053;845;208
521;4;4;04/06/2024;10;48;480;560;-80
522;5;1;05/06/2024;18;138;2484;774;1710
523;4;5;06/06/2024;17;73;1241;1632;-391
524;5;4;07/06/2024;13;36;468;312;156
525;7;3;08/06/2024;17;146;2482;901;1581
526;9;4;09/06/2024;4;97;388;384;4
527;7;2;10/06/2024;1;63;63;15;48
528;5;2;11/06/2024;1;98;98;53;45
529;10;3;12/06/2024;15;84;1260;525;735
530;10;1;13/06/2024;13;39;507;1027;-520
531;7;5;14/06/2024;17;71;1207;493;714
532;10;4;15/06/2024;8;70;560;144;416
533;5;2;16/06/2024;18;151;2718;1332;1386
534;3;1;17/06/2024;13;167;2171;975;1196
535;7;3;18/06/2024;14;39;546;476;70
536;2;2;19/06/2024;8;131;1048;192;856
537;9;3;20/06/2024;8;157;1256;384;872
538;10;4;21/06/2024;15;178;2670;930;1740
539;10;5;22/06/2024;13;165;2145;611;1534
540;1;2;23/06/2024;7;121;847;525;322
541;6;2;24/06/2024;5;142;710;120;590
542;7;4;25/06/2024;17;107;1819;1156;663
543;8;1;26/06/2024;16;114;1824;1568;256
544;10;5;27/06/2024;2;59;118;158;-40
545;9;2;28/06/2024;18;78;1404;1638;-234
546;2;5;29/06/2024;17;38;646;255;391
547;10;2;30/06/2024;7;174;1218;133;1085
548;2;5;01/07/2024;13;98;1274;1222;52
549;5;3;02/07/2024;18;87;1566;522;1044
550;5;2;03/07/2024;14;91;1274;588;686
551;6;5;04/07/2024;18;81;1458;666;792
552;3;1;05/07/2024;13;69;897;403;494
553;8;3;06/07/2024;11;195;2145;297;1848
554;1;3;07/07/2024;16;92;1472;448;1024
555;6;1;08/07/2024;17;176;2992;425;2567
556;4;5;09/07/2024;8;79;632;336;296
557;1;4;10/07/2024;19;190;3610;1064;2546
558;7;1;11/07/2024;15;170;2550;1125;1425
559;9;5;12/07/2024;9;107;963;702;261
560;4;1;13/07/2024;10;126;1260;450;810
561;4;1;14/07/2024;12;72;864;1140;-276
562;6;2;15/07/2024;1;65;65;87;-22
563;3;5;16/07/2024;9;151;1359;216;1143
564;6;4;17/07/2024;15;137;2055;330;1725
565;7;2;18/07/2024;1;39;39;35;4
566;10;1;19/07/2024;12;124;1488;1092;396
567;10;1;20/07/2024;3;35;105;219;-114
568;3;1;21/07/2024;11;86;946;704;242
569;7;5;22/07/2024;2;158;316;166;150
570;3;5;23/07/2024;16;100;1600;1344;256
571;2;2;24/07/2024;9;50;450;396;54
572;10;4;25/07/2024;15;121;1815;465;1350
573;4;2;26/07/2024;12;156;1872;1068;804
574;8;3;27/07/2024;1;109;109;34;75
575;9;1;28/07/2024;13;85;1105;806;299
576;7;1;29/07/2024;14;145;2030;1218;812
