data;produto;categoria;vendas;quantidade;vendedor;regiao;valor_total
03/03/2024;Moletom;Calçados;951;3;Ana;Centro-Oeste;2853
04/03/2024;Calça;Calçados;1787;1;Bruno;Centro-Oeste;1787
05/03/2024;Calça;Calçados;2031;16;Elisa;Leste;32496
06/03/2024;Boné;Acessórios;3846;6;Carla;Sul;23076
07/03/2024;Calça;Vestuário;2527;17;Daniel;Norte;42959
08/03/2024;Calça;Vestuário;1668;5;Elisa;Leste;8340
09/03/2024;Boné;Vestuário;4100;5;Carla;Sul;20500
10/03/2024;Boné;Vestuário;2838;6;Carla;Sul;17028
11/03/2024;Camiseta;Calçados;3598;3;Ana;Oeste;10794
12/03/2024;Moletom;Vestuário;4013;5;Bruno;Norte;20065
13/03/2024;Moletom;Acessórios;1166;5;Bruno;Sul;5830
14/03/2024;Calça;Acessórios;4480;10;Elisa;Leste;44800
15/03/2024;Moletom;Vestuário;2544;10;Bruno;Oeste;25440
16/03/2024;Calça;Vestuário;4207;19;Daniel;Norte;79933
17/03/2024;Camiseta;Acessórios;3473;17;Bruno;Centro-Oeste;59041
18/03/2024;Boné;Acessórios;4069;14;Elisa;Leste;56966
19/03/2024;Boné;Calçados;2646;9;Bruno;Sul;23814
20/03/2024;Boné;Acessórios;853;14;Daniel;Sul;11942
21/03/2024;Moletom;Calçados;2182;1;Ana;Leste;2182
22/03/2024;Camiseta;Calçados;2874;19;Elisa;Sul;54606
23/03/2024;Moletom;Calçados;2996;13;Ana;Oeste;38948
24/03/2024;Moletom;Calçados;4285;13;Ana;Norte;55705
25/03/2024;Camiseta;Calçados;875;4;Ana;Oeste;3500
26/03/2024;Camiseta;Vestuário;1725;1;Carla;Sul;1725
27/03/2024;Camiseta;Acessórios;3169;17;Carla;Centro-Oeste;53873
28/03/2024;Camiseta;Calçados;517;8;Ana;Norte;4136
29/03/2024;Boné;Acessórios;214;2;Elisa;Norte;428
30/03/2024;Tênis;Acessórios;716;8;Daniel;Leste;5728
31/03/2024;Tênis;Calçados;4074;7;Daniel;Leste;28518
01/04/2024;Camiseta;Vestuário;3367;2;Bruno;Centro-Oeste;6734
02/04/2024;Tênis;Calçados;925;3;Elisa;Norte;2775
03/04/2024;Tênis;Vestuário;1616;18;Carla;Centro-Oeste;29088
04/04/2024;Camiseta;Acessórios;3246;12;Ana;Leste;38952
05/04/2024;Tênis;Vestuário;512;1;Bruno;Leste;512
06/04/2024;Moletom;Vestuário;828;12;Daniel;Norte;9936
07/04/2024;Calça;Vestuário;3448;5;Carla;Oeste;17240
08/04/2024;Calça;Acessórios;2908;17;Carla;Sul;49436
09/04/2024;Camiseta;Acessórios;775;16;Ana;Leste;12400
10/04/2024;Boné;Vestuário;3565;15;Daniel;Leste;53475
11/04/2024;Camiseta;Vestuário;2604;15;Elisa;Oeste;39060
12/04/2024;Boné;Calçados;3067;5;Carla;Oeste;15335
13/04/2024;Calça;Vestuário;2886;14;Ana;Centro-Oeste;40404
14/04/2024;Camiseta;Calçados;1222;2;Elisa;Centro-Oeste;2444
15/04/2024;Moletom;Vestuário;4179;11;Daniel;Sul;45969
16/04/2024;Tênis;Calçados;1671;19;Carla;Sul;31749
17/04/2024;Boné;Acessórios;2243;7;Elisa;Norte;15701
18/04/2024;Tênis;Vestuário;1787;6;Elisa;Centro-Oeste;10722
19/04/2024;Tênis;Vestuário;4232;2;Elisa;Leste;8464
20/04/2024;Camiseta;Vestuário;3951;6;Carla;Centro-Oeste;23706
21/04/2024;Tênis;Vestuário;3540;18;Carla;Leste;63720
22/04/2024;Moletom;Calçados;3866;2;Bruno;Oeste;7732
23/04/2024;Tênis;Vestuário;2426;18;Daniel;Centro-Oeste;43668
24/04/2024;Camiseta;Acessórios;3014;15;Ana;Oeste;45210
25/04/2024;Moletom;Acessórios;4052;19;Elisa;Sul;76988
26/04/2024;Calça;Vestuário;695;2;Bruno;Sul;1390
27/04/2024;Tênis;Acessórios;828;6;Ana;Norte;4968
28/04/2024;Camiseta;Vestuário;1465;1;Bruno;Centro-Oeste;1465
29/04/2024;Calça;Vestuário;4592;15;Carla;Oeste;68880
30/04/2024;Calça;Acessórios;798;10;Elisa;Leste;7980
01/05/2024;Boné;Vestuário;495;19;Ana;Sul;9405
02/05/2024;Moletom;Acessórios;4271;17;Ana;Sul;72607
03/05/2024;Tênis;Calçados;4460;5;Ana;Leste;22300
04/05/2024;Camiseta;Vestuário;2602;4;Ana;Oeste;10408
05/05/2024;Boné;Calçados;1919;10;Ana;Oeste;19190
06/05/2024;Moletom;Acessórios;817;17;Bruno;Centro-Oeste;13889
07/05/2024;Boné;Calçados;2882;10;Elisa;Centro-Oeste;28820
08/05/2024;Moletom;Calçados;3677;17;Carla;Norte;62509
09/05/2024;Moletom;Acessórios;243;5;Carla;Sul;1215
10/05/2024;Tênis;Calçados;3240;2;Carla;Centro-Oeste;6480
11/05/2024;Moletom;Calçados;4591;6;Carla;Oeste;27546
12/05/2024;Boné;Acessórios;3038;2;Bruno;Leste;6076
13/05/2024;Moletom;Calçados;3736;13;Daniel;Oeste;48568
14/05/2024;Tênis;Acessórios;3322;11;Elisa;Sul;36542
15/05/2024;Tênis;Calçados;1267;11;Ana;Oeste;13937
16/05/2024;Boné;Acessórios;2716;16;Daniel;Norte;43456
17/05/2024;Calça;Acessórios;1162;11;Carla;Sul;12782
18/05/2024;Calça;Calçados;2256;19;Daniel;Leste;42864
19/05/2024;Moletom;Calçados;3082;15;Elisa;Norte;46230
20/05/2024;Camiseta;Calçados;3394;16;Ana;Sul;54304
21/05/2024;Moletom;Vestuário;4829;11;Ana;Leste;53119
22/05/2024;Boné;Vestuário;1256;16;Elisa;Norte;20096
23/05/2024;Boné;Vestuário;832;8;Elisa;Norte;6656
24/05/2024;Boné;Acessórios;4430;4;Carla;Sul;17720
25/05/2024;Boné;Calçados;4946;8;Ana;Centro-Oeste;39568
26/05/2024;Boné;Acessórios;1053;4;Daniel;Norte;4212
27/05/2024;Tênis;Vestuário;2639;3;Bruno;Norte;7917
28/05/2024;Calça;Calçados;3424;3;Bruno;Leste;10272
29/05/2024;Boné;Acessórios;3401;18;Elisa;Oeste;61218
30/05/2024;Camiseta;Calçados;1642;19;Carla;Sul;31198
31/05/2024;Camiseta;Acessórios;1291;19;Bruno;Sul;24529
01/06/2024;Camiseta;Calçados;3093;5;Ana;Centro-Oeste;15465
02/06/2024;Camiseta;Vestuário;2781;18;Elisa;Centro-Oeste;50058
03/06/2024;Tênis;Vestuário;1317;10;Daniel;Sul;13170
04/06/2024;Camiseta;Calçados;1640;6;Elisa;Centro-Oeste;9840
05/06/2024;Boné;Acessórios;3336;1;Daniel;Leste;3336
06/06/2024;Moletom;Vestuário;2486;5;Elisa;Sul;12430
07/06/2024;Camiseta;Vestuário;3819;9;Elisa;Centro-Oeste;34371
08/06/2024;Tênis;Vestuário;1488;12;Elisa;Sul;17856
09/06/2024;Tênis;Calçados;1956;14;Daniel;Oeste;27384
10/06/2024;Camiseta;Calçados;1465;2;Daniel;Norte;2930
11/06/2024;Moletom;Acessórios;599;17;Elisa;Sul;10183
12/06/2024;Camiseta;Acessórios;1780;14;Bruno;Norte;24920
13/06/2024;Tênis;Acessórios;610;13;Carla;Centro-Oeste;7930
14/06/2024;Calça;Calçados;4412;9;Carla;Norte;39708
15/06/2024;Boné;Calçados;1424;15;Carla;Sul;21360
16/06/2024;Tênis;Acessórios;1255;15;Daniel;Oeste;18825
17/06/2024;Camiseta;Acessórios;1927;11;Daniel;Centro-Oeste;21197
18/06/2024;Boné;Calçados;3241;16;Bruno;Sul;51856
19/06/2024;Camiseta;Acessórios;3586;17;Carla;Centro-Oeste;60962
20/06/2024;Camiseta;Vestuário;1910;4;Carla;Leste;7640
21/06/2024;Calça;Calçados;3023;1;Elisa;Norte;3023
22/06/2024;Boné;Acessórios;2314;8;Daniel;Leste;18512
23/06/2024;Boné;Calçados;4286;17;Carla;Sul;72862
24/06/2024;Calça;Vestuário;813;3;Bruno;Oeste;2439
25/06/2024;Tênis;Calçados;3702;15;Bruno;Centro-Oeste;55530
26/06/2024;Camiseta;Calçados;4234;15;Carla;Norte;63510
27/06/2024;Moletom;Calçados;3622;14;Daniel;Centro-Oeste;50708
28/06/2024;Camiseta;Calçados;4368;14;Bruno;Sul;61152
29/06/2024;Camiseta;Vestuário;4848;2;Elisa;Centro-Oeste;9696
30/06/2024;Tênis;Calçados;4949;13;Bruno;Norte;64337
01/07/2024;Camiseta;Calçados;1343;14;Ana;Sul;18802
02/07/2024;Calça;Acessórios;3809;19;Ana;Centro-Oeste;72371
03/07/2024;Calça;Calçados;1181;7;Daniel;Oeste;8267
04/07/2024;Boné;Acessórios;555;3;Carla;Sul;1665
05/07/2024;Moletom;Vestuário;994;15;Daniel;Sul;14910
06/07/2024;Camiseta;Vestuário;1484;14;Daniel;Oeste;20776
07/07/2024;Camiseta;Vestuário;2058;11;Daniel;Leste;22638
08/07/2024;Tênis;Vestuário;3172;15;Daniel;Norte;47580
09/07/2024;Calça;Acessórios;2096;13;Elisa;Leste;27248
10/07/2024;Moletom;Calçados;4385;18;Elisa;Centro-Oeste;78930
11/07/2024;Boné;Vestuário;604;6;Bruno;Oeste;3624
12/07/2024;Calça;Calçados;1314;3;Ana;Leste;3942
13/07/2024;Boné;Acessórios;1631;19;Daniel;Sul;30989
14/07/2024;Tênis;Acessórios;3540;15;Bruno;Centro-Oeste;53100
15/07/2024;Tênis;Acessórios;923;5;Ana;Centro-Oeste;4615
16/07/2024;Camiseta;Vestuário;1028;10;Carla;Leste;10280
17/07/2024;Moletom;Calçados;233;7;Elisa;Leste;1631
18/07/2024;Boné;Calçados;2205;17;Ana;Oeste;37485
