id,gen,name,form,type_1,type_2,hp,atk,def,sp_atk,sp_def,spd,pml,bst_rpg
128,9,tauros,combat breed,fighting,,56,6,5,2,4,10,,83
128,9,tauros,blaze breed,fighting,fire,56,6,5,2,4,10,,83
128,9,tauros,aqua breed,fighting,water,56,6,5,2,4,10,,83
129,1,magikarp,,water,,15,1,3,1,1,8,,29
130,1,gyarados,,water,flying,71,6,4,3,5,8,,97
130,6,gyarados,mega gyarados,water,dark,71,8,5,4,7,8,,103
131,1,lapras,,water,ice,98,4,4,4,5,6,,121
132,1,ditto,,normal,,36,2,2,2,2,5,,49
133,1,eevee,,normal,,41,3,3,2,3,6,,58
133,7,eevee,partner eevee,normal,,49,4,4,3,4,8,,72
134,1,vaporeon,,water,,98,3,3,6,5,7,,122
135,1,jolteon,,electric,,49,3,3,6,5,13,,79
136,1,flareon,,fire,,49,7,3,5,6,7,,77
137,1,porygon,,normal,,49,3,4,4,4,4,,68
138,1,omanyte,,rock,water,26,2,5,5,3,4,,45
139,1,omastar,,rock,water,53,3,6,6,4,6,,78
140,1,kabuto,,rock,water,23,4,5,3,2,6,,43
141,1,kabutops,,rock,water,45,6,5,3,4,8,,71
142,1,aerodactyl,,rock,flying,60,5,3,3,4,13,,88
142,6,aerodactyl,mega aerodactyl,rock,flying,60,7,4,4,5,15,,95
143,1,snorlax,,normal,,120,6,3,3,6,3,,141
144,1,articuno,,ice,flying,68,4,5,5,6,9,leg,97
144,8,articuno,galarian articuno,psychic,flying,68,4,4,6,5,10,leg,97
145,1,zapdos,,electric,flying,68,5,4,6,5,10,leg,98
145,8,zapdos,galarian zapdos,fighting,flying,68,6,5,4,5,10,leg,98
146,1,moltres,,fire,flying,68,5,5,6,4,9,leg,97
146,8,moltres,galarian moltres,dark,flying,68,4,5,5,6,9,leg,97
147,1,dratini,,dragon,,31,3,2,3,3,5,psd_leg,47
148,1,dragonair,,dragon,,46,4,3,4,4,7,psd_leg,68
149,1,dragonite,,dragon,flying,68,7,5,5,5,8,psd_leg,98
150,1,mewtwo,,psychic,,80,6,5,8,5,13,leg,117
150,6,mewtwo,mega mewtwo x,psychic,fighting,80,10,5,8,5,13,leg,121
150,6,mewtwo,mega mewtwo y,psychic,,80,8,4,10,6,14,leg,122
151,1,mew,,psychic,,75,5,5,5,5,10,myth,105
152,2,chikorita,,grass,,34,2,3,2,3,5,,49
153,2,bayleef,,grass,,45,3,4,3,4,6,,65
154,2,meganium,,grass,,60,4,5,4,5,8,,86
155,2,cyndaquil,,fire,,29,3,2,3,3,7,,47
156,2,quilava,,fire,,44,3,3,4,3,8,,65
157,2,typhlosion,,fire,,59,4,4,5,4,10,,86
157,8,typhlosion,hisuian typhlosion,fire,ghost,55,4,4,6,4,10,,83
158,2,totodile,,water,,38,3,3,2,2,4,,52
159,2,croconaw,,water,,49,4,4,3,3,6,,69
160,2,feraligatr,,water,,64,5,5,4,4,8,,90
161,2,sentret,,normal,,26,2,2,2,2,2,,36
162,2,furret,,normal,,64,4,3,2,3,9,,85
163,2,hoothoot,,normal,flying,45,2,2,2,3,5,,59
164,2,noctowl,,normal,flying,75,3,3,4,5,7,,97
165,2,ledyba,,bug,flying,30,1,2,2,4,6,,45
166,2,ledian,,bug,flying,41,2,3,3,6,9,,64
167,2,spinarak,,bug,poison,30,3,2,2,2,3,,42
168,2,ariados,,bug,poison,53,5,4,3,4,4,,73
169,2,crobat,,poison,flying,64,5,4,4,4,13,,94
170,2,chinchou,,water,electric,56,2,2,3,3,7,,73
171,2,lanturn,,water,electric,94,3,3,4,4,7,,115
172,2,pichu,,electric,,15,2,1,2,2,6,,28
173,2,cleffa,,fairy,,38,1,1,2,3,2,,47
174,2,igglybuff,,normal,fairy,68,2,1,2,1,2,,76
175,2,togepi,,fairy,,26,1,3,2,3,2,,37
176,2,togetic,,fairy,flying,41,2,4,4,5,4,,60
177,2,natu,,psychic,flying,30,3,2,4,2,7,,48
178,2,xatu,,psychic,flying,49,4,4,5,4,10,,76
179,2,mareep,,electric,,41,2,2,3,2,4,,54
180,2,flaaffy,,electric,,53,3,3,4,3,5,,71
181,2,ampharos,,electric,,68,4,4,6,5,6,,93
181,6,ampharos,mega ampharos,electric,dragon,68,5,5,8,6,5,,97
182,2,bellossom,,grass,,56,4,5,5,5,5,,80
183,2,marill,,water,fairy,53,1,3,1,3,4,,65
184,2,azumarill,,water,fairy,75,3,4,3,4,5,,94
185,2,sudowoodo,,rock,,53,5,6,2,3,3,,72
186,2,politoed,,water,,68,4,4,5,5,7,,93
187,2,hoppip,,grass,flying,26,2,2,2,3,5,,40
188,2,skiploom,,grass,flying,41,2,3,2,3,8,,59
189,2,jumpluff,,grass,flying,56,3,4,3,5,11,,82
190,2,aipom,,normal,,41,4,3,2,3,9,,62
191,2,sunkern,,grass,,23,2,2,2,2,3,,34
192,2,sunflora,,grass,,56,4,3,5,4,3,,75
193,2,yanma,,bug,flying,49,3,2,4,2,10,,70
194,2,wooper,,water,ground,41,2,2,1,1,2,,49
194,9,wooper,paldean wooper,poison,ground,41,2,2,1,1,2,,49
195,2,quagsire,,water,ground,71,4,4,3,3,4,,89
196,2,espeon,,psychic,,49,3,3,7,5,11,,78
197,2,umbreon,,dark,,71,3,6,3,7,7,,97
198,2,murkrow,,dark,flying,45,4,2,4,2,9,,66
199,2,slowking,,water,psychic,71,4,4,5,6,3,,93
199,8,slowking,galarian slowking,poison,psychic,71,3,4,6,6,3,,93
200,2,misdreavus,,ghost,,45,3,3,4,4,9,,68
201,2,unown,,psychic,,36,4,2,4,2,5,,53
202,2,wobbuffet,,psychic,,143,2,3,2,3,3,,156
203,2,girafarig,,normal,psychic,53,4,3,5,3,9,,77
204,2,pineco,,bug,,38,3,5,2,2,2,,52
205,2,forretress,,bug,steel,56,5,7,3,3,4,,78
206,2,dunsparce,,normal,,75,4,4,3,3,5,,94
207,2,gligar,,ground,flying,49,4,5,2,3,9,,72
208,2,steelix,,steel,ground,56,4,10,3,3,3,,79
208,6,steelix,mega steelix,steel,ground,56,6,12,3,5,3,,85
209,2,snubbull,,fairy,,45,4,3,2,2,3,,59
210,2,granbull,,fairy,,68,6,4,3,3,5,,89
211,2,qwilfish,,water,poison,49,5,4,3,3,9,,73
211,8,qwilfish,hisuian qwilfish,dark,poison,49,5,4,3,3,9,,73
212,2,scizor,,bug,steel,53,7,5,3,4,7,,79
212,6,scizor,mega scizor,bug,steel,53,8,7,3,5,8,,84
213,2,shuckle,,bug,rock,15,1,12,1,12,1,,42
214,2,heracross,,bug,fighting,60,6,4,2,5,9,,86
214,6,heracross,mega heracross,bug,fighting,60,9,6,2,5,8,,90
215,2,sneasel,,dark,ice,41,5,3,2,4,12,,67
215,8,sneasel,hisuian sneasel,fighting,poison,41,5,3,2,4,12,,67
216,2,teddiursa,,normal,,45,4,3,3,3,4,,62
217,2,ursaring,,normal,,68,7,4,4,4,6,,93
218,2,slugma,,fire,,30,2,2,4,2,2,,42
219,2,magcargo,,fire,rock,45,3,6,5,4,3,,66
220,2,swinub,,ice,ground,38,3,2,2,2,5,,52
221,2,piloswine,,ice,ground,75,5,4,3,3,5,,95
222,2,corsola,,water,rock,49,3,5,3,5,4,,69
222,8,corsola,galarian corsola,ghost,,45,3,5,3,5,3,,64
223,2,remoraid,,water,,26,3,2,3,2,7,,43
224,2,octillery,,water,,56,5,4,5,4,5,,79
225,2,delibird,,ice,flying,34,3,2,3,2,8,,52
226,2,mantine,,water,flying,64,2,4,4,7,7,,88
227,2,skarmory,,steel,flying,49,4,7,2,4,7,,73
228,2,houndour,,dark,fire,34,3,2,4,3,7,,53
229,2,houndoom,,dark,fire,56,5,3,6,4,10,,84
229,6,houndoom,mega houndoom,dark,fire,56,5,5,7,5,12,,90
230,2,kingdra,,water,dragon,56,5,5,5,5,9,,85
231,2,phanpy,,ground,,68,3,3,2,2,4,,82
232,2,donphan,,ground,,68,6,6,3,3,5,,91
233,2,porygon2,,normal,,64,4,5,5,5,6,,89
234,2,stantler,,normal,,55,5,3,4,3,9,,79
235,2,smeargle,,normal,,41,1,2,1,2,8,,55
236,2,tyrogue,,fighting,,26,2,2,2,2,4,,38
237,2,hitmontop,,fighting,,38,5,5,2,6,7,,63
238,2,smoochum,,ice,psychic,34,2,1,4,3,7,,51
239,2,elekid,,electric,,34,3,2,3,3,10,,55
240,2,magby,,fire,,34,4,2,4,3,8,,55
241,2,miltank,,normal,,71,4,5,2,4,10,,96
242,2,blissey,,normal,,191,1,1,4,7,6,,210
243,2,raikou,,electric,,68,4,4,6,5,12,leg,99
244,2,entei,,fire,,86,6,4,5,4,10,leg,115
245,2,suicune,,water,,75,4,6,5,6,9,leg,105
246,2,larvitar,,rock,ground,38,3,3,2,3,4,psd_leg,53
247,2,pupitar,,rock,ground,53,4,4,3,4,5,psd_leg,73
248,2,tyranitar,,rock,dark,75,7,6,5,5,6,psd_leg,104
248,6,tyranitar,mega tyranitar,rock,dark,75,8,8,5,6,7,psd_leg,109
249,2,lugia,,psychic,flying,80,5,7,5,8,11,leg,116
250,2,ho-oh,,fire,flying,80,7,5,6,8,9,leg,115
251,2,celebi,,psychic,grass,75,5,5,5,5,10,myth,105
252,3,treecko,,grass,,30,2,2,3,3,7,,47
253,3,grovyle,,grass,,38,3,2,4,3,10,,60
254,3,sceptile,,grass,,53,4,3,5,4,12,,81
254,6,sceptile,mega sceptile,grass,dragon,53,6,4,7,4,15,,89
255,3,torchic,,fire,,34,3,2,4,3,5,,51
256,3,combusken,,fire,fighting,45,4,3,4,3,6,,65
257,3,blaziken,,fire,fighting,60,6,4,6,4,8,,88
257,6,blaziken,mega blaziken,fire,fighting,60,8,4,7,4,10,,93
258,3,mudkip,,water,,38,4,3,3,3,4,,55
259,3,marshtomp,,water,ground,53,4,4,3,4,5,,73
260,3,swampert,,water,ground,75,6,5,4,5,6,,101
260,6,swampert,mega swampert,water,ground,75,8,6,5,6,7,,107
261,3,poochyena,,dark,,26,3,2,2,2,4,,39
262,3,mightyena,,dark,,53,5,4,3,3,7,,75
263,3,zigzagoon,,normal,,29,2,2,2,2,6,,43
263,8,zigzagoon,galarian zigzagoon,dark,normal,29,2,2,2,2,6,,43
264,3,linoone,,normal,,59,4,3,3,3,10,,82
264,8,linoone,galarian linoone,dark,normal,59,4,3,3,3,10,,82
265,3,wurmple,,bug,,34,2,2,1,2,2,,43
266,3,silcoon,,bug,,38,2,3,1,1,2,,47
267,3,beautifly,,bug,flying,45,4,3,5,3,7,,67
268,3,cascoon,,bug,,38,2,3,1,1,2,,47
269,3,dustox,,bug,poison,45,3,4,3,5,7,,67
270,3,lotad,,water,grass,30,2,2,2,3,3,,42
271,3,lombre,,water,grass,45,3,3,3,4,5,,63
272,3,ludicolo,,water,grass,60,4,4,5,5,7,,85
273,3,seedot,,grass,,30,2,3,2,2,3,,42
274,3,nuzleaf,,grass,dark,53,4,2,3,2,6,,70
275,3,shiftry,,grass,dark,68,5,3,5,3,8,,92
276,3,taillow,,normal,flying,30,3,2,2,2,9,,48
277,3,swellow,,normal,flying,45,4,3,4,3,13,,72
278,3,wingull,,water,flying,30,2,2,3,2,9,,48
279,3,pelipper,,water,flying,45,3,5,5,4,7,,69
280,3,ralts,,psychic,fairy,21,1,1,2,2,4,,31
281,3,kirlia,,psychic,fairy,29,2,2,3,3,5,,44
282,3,gardevoir,,psychic,fairy,51,3,3,6,6,8,,77
282,6,gardevoir,mega gardevoir,psychic,fairy,51,4,3,8,7,10,,83
283,3,surskit,,bug,water,30,2,2,3,3,7,,47
284,3,masquerain,,bug,flying,53,3,3,5,4,8,,76
285,3,shroomish,,grass,,45,2,3,2,3,4,,59
286,3,breloom,,grass,fighting,45,7,4,3,3,7,,69
287,3,slakoth,,normal,,45,3,3,2,2,3,,58
288,3,vigoroth,,normal,,60,4,4,3,3,9,,83
289,3,slaking,,normal,,113,8,5,5,3,10,,144
290,3,nincada,,bug,ground,23,2,5,2,2,4,,38
291,3,ninjask,,bug,flying,46,5,2,3,3,16,,75
292,3,shedinja,,bug,ghost,1,5,2,2,2,4,,16
293,3,whismur,,normal,,48,3,1,3,1,3,,59
294,3,loudred,,normal,,63,4,2,4,2,5,,80
295,3,exploud,,normal,,78,5,3,5,4,7,,102
296,3,makuhita,,fighting,,54,3,2,1,2,3,,65
297,3,hariyama,,fighting,,108,6,3,2,3,5,,127
298,3,azurill,,normal,fairy,38,1,2,1,2,2,,46
299,3,nosepass,,rock,,23,2,7,2,5,3,,42
300,3,skitty,,normal,,38,2,2,2,2,5,,51
301,3,delcatty,,normal,,53,3,3,3,3,9,,74
302,3,sableye,,dark,ghost,38,4,4,3,3,5,,57
302,6,sableye,mega sableye,dark,ghost,38,4,6,4,6,2,,60
303,3,mawile,,steel,fairy,38,4,4,3,3,5,,57
303,6,mawile,mega mawile,steel,fairy,38,5,6,3,5,5,,62
304,3,aron,,steel,rock,38,4,5,2,2,3,,54
305,3,lairon,,steel,rock,45,5,7,3,3,4,,67
306,3,aggron,,steel,rock,53,6,9,3,3,5,,79
306,6,aggron,mega aggron,steel,,53,7,12,3,4,5,,84
307,3,meditite,,fighting,psychic,23,2,3,2,3,6,,39
308,3,medicham,,fighting,psychic,45,3,4,3,4,8,,67
308,6,medicham,mega medicham,fighting,psychic,45,5,4,4,4,10,,72
309,3,electrike,,electric,,30,2,2,3,2,7,,46
310,3,manectric,,electric,,53,4,3,5,3,11,,79
310,6,manectric,mega manectric,electric,,53,4,4,7,4,14,,86
311,3,plusle,,electric,,45,3,2,4,4,10,,68
312,3,minun,,electric,,45,2,3,4,4,10,,68
313,3,volbeat,,bug,,49,4,4,2,4,9,,72
314,3,illumise,,bug,,49,2,4,4,4,9,,72
315,3,roselia,,grass,poison,38,3,2,5,4,7,,59
316,3,gulpin,,poison,,53,2,3,2,3,4,,67
317,3,swalot,,poison,,75,4,4,4,4,6,,97
318,3,carvanha,,water,dark,34,5,1,3,1,7,,51
319,3,sharpedo,,water,dark,53,6,2,5,2,10,,78
319,6,sharpedo,mega sharpedo,water,dark,53,7,4,6,3,11,,84
320,3,wailmer,,water,,98,4,2,4,2,6,,116
321,3,wailord,,water,,128,5,2,5,2,6,,148
322,3,numel,,fire,ground,45,3,2,3,2,4,,59
323,3,camerupt,,fire,ground,53,5,4,5,4,4,,75
323,6,camerupt,mega camerupt,fire,ground,53,6,5,7,5,2,,78
324,3,torkoal,,fire,,53,4,7,4,4,2,,74
325,3,spoink,,psychic,,45,1,2,4,4,6,,62
326,3,grumpig,,psychic,,60,2,3,5,6,8,,84
327,3,spinda,,normal,,45,3,3,3,3,6,,63
328,3,trapinch,,ground,,34,5,2,2,2,1,,46
329,3,vibrava,,ground,dragon,38,4,3,3,3,7,,58
330,3,flygon,,ground,dragon,60,5,4,4,4,10,,87
331,3,cacnea,,grass,,38,4,2,4,2,4,,54
332,3,cacturne,,grass,dark,53,6,3,6,3,6,,77
333,3,swablu,,normal,flying,34,2,3,2,4,5,,50
334,3,altaria,,dragon,flying,56,4,5,4,5,8,,82
334,6,altaria,mega altaria,dragon,fairy,56,6,6,6,5,8,,87
335,3,zangoose,,normal,,55,6,3,3,3,9,,79
336,3,seviper,,poison,,55,5,3,5,3,7,,78
337,3,lunatone,,rock,psychic,68,3,3,5,4,7,,90
338,3,solrock,,rock,psychic,68,5,4,3,3,7,,90
339,3,barboach,,water,ground,38,2,2,2,2,6,,52
340,3,whiscash,,water,ground,83,4,4,4,4,6,,105
341,3,corphish,,water,,32,4,3,3,2,4,,48
342,3,crawdaunt,,water,dark,47,6,4,5,3,6,,71
343,3,baltoy,,ground,psychic,30,2,3,2,4,6,,47
344,3,claydol,,ground,psychic,45,4,5,4,6,8,,72
345,3,lileep,,rock,grass,50,2,4,3,4,2,,65
346,3,cradily,,rock,grass,65,4,5,4,5,4,,87
347,3,anorith,,rock,bug,34,5,3,2,3,8,,55
348,3,armaldo,,rock,bug,56,6,5,4,4,5,,80
349,3,feebas,,water,,15,1,1,1,3,8,,29
350,3,milotic,,water,,71,3,4,5,6,8,,97
351,3,castform,,normal,,53,4,4,4,4,7,,76
351,3,castform,sunny form,fire,,53,4,4,4,4,7,,76
351,3,castform,rainy form,water,,53,4,4,4,4,7,,76
351,3,castform,snowy form,ice,,53,4,4,4,4,7,,76
352,3,kecleon,,normal,,45,5,4,3,6,4,,67
353,3,shuppet,,ghost,,33,4,2,3,2,5,,49
354,3,banette,,ghost,,48,6,3,4,3,7,,71
354,6,banette,mega banette,ghost,,48,8,4,5,4,8,,77
355,3,duskull,,ghost,,15,2,5,2,5,3,,32
356,3,dusclops,,ghost,,30,4,7,3,7,3,,54
357,3,tropius,,grass,flying,74,3,4,4,4,5,,94
358,3,chimecho,,psychic,,56,3,4,5,5,7,,80
359,3,absol,,dark,,49,7,3,4,3,8,,74
359,6,absol,mega absol,dark,,49,8,3,6,3,12,,81
360,3,wynaut,,psychic,,71,1,2,1,2,2,,79
361,3,snorunt,,ice,,38,3,3,3,3,5,,55
362,3,glalie,,ice,,60,4,4,4,4,8,,84
