gen,id,nome,forma,estagio,tipo_1,tipo_2,hp,atk,sp_atk,def,sp_def,vel,pml,bst,best_atk,best_atk_vel,atk_tot,def_tot
1,31,nidoqueen,-,-,venenoso,terra,45,5,4,5,5,8,-,72,5,13,9,10
1,32,nidoran,male,-,venenoso,-,25,3,2,2,2,5,-,39,3,8,5,4
1,33,nidorino,-,-,venenoso,-,35,4,3,3,3,7,-,55,4,11,7,6
1,34,nidoking,-,-,venenoso,terra,45,6,5,4,4,9,-,73,6,15,11,8
1,35,clefairy,-,-,fada,-,35,3,3,3,4,4,-,52,3,7,6,7
1,36,clefable,-,-,fada,-,50,4,5,4,5,6,-,74,5,11,9,9
1,37,vulpix,-,-,fogo,-,20,3,3,2,4,7,-,39,3,10,6,6
7,37,vulpix,alolan vulpix,-,gelo,-,20,3,3,2,4,7,-,39,3,10,6,6
1,38,ninetales,-,-,fogo,-,40,4,5,4,5,10,-,68,5,15,9,9
7,38,ninetales,alolan ninetales,-,gelo,fada,40,4,5,4,5,11,-,69,5,16,9,9
1,39,jigglypuff,-,-,normal,fada,60,3,3,1,2,2,-,71,3,5,6,3
1,40,wigglytuff,-,-,normal,fada,70,4,5,3,3,5,-,90,5,10,9,6
1,41,zubat,-,-,venenoso,voador,20,3,2,2,2,6,-,35,3,9,5,4
1,42,golbat,-,-,venenoso,voador,40,4,4,4,4,9,-,65,4,13,8,8
1,43,oddish,-,-,grama,venenoso,25,3,4,3,4,3,-,42,4,7,7,7
1,44,gloom,-,-,grama,venenoso,30,4,5,4,4,4,-,51,5,9,9,8
1,45,vileplume,-,-,grama,venenoso,40,4,6,5,5,5,-,65,6,11,10,10
1,46,paras,-,-,inseto,grama,20,4,3,3,3,3,-,36,4,7,7,6
1,47,parasect,-,-,inseto,grama,30,5,3,4,4,3,-,49,5,8,8,8
1,48,venonat,-,-,inseto,venenoso,30,3,2,3,3,5,-,46,3,8,5,6
1,49,venomoth,-,-,inseto,venenoso,35,4,5,3,4,9,-,60,5,14,9,7
1,50,diglett,-,-,terra,-,5,3,2,2,3,10,-,25,3,13,5,5
7,50,diglett,alolan diglett,-,terra,aco,5,3,2,2,3,9,-,24,3,12,5,5
1,51,dugtrio,-,-,terra,-,20,5,3,3,4,12,-,47,5,17,8,7
7,51,dugtrio,alolan dugtrio,-,terra,aco,20,5,3,3,4,11,-,46,5,16,8,7
1,52,meowth,-,-,normal,-,20,3,2,2,2,9,-,38,3,12,5,4
7,52,meowth,alolan meowth,-,sombrio,-,20,2,3,2,2,9,-,38,3,12,5,4
8,52,meowth,galarian meowth,-,aco,-,25,4,2,3,2,4,-,40,4,8,6,5
1,53,persian,-,-,normal,-,35,4,4,3,4,12,-,62,4,16,8,7
7,53,persian,alolan persian,-,sombrio,-,35,3,4,3,4,12,-,61,4,16,7,7
1,54,psyduck,-,-,agua,-,25,3,4,3,3,6,-,44,4,10,7,6
1,55,golduck,-,-,agua,-,40,5,5,4,4,9,-,67,5,14,10,8
1,56,mankey,-,-,lutador,-,20,4,2,2,3,7,-,38,4,11,6,5
1,57,primeape,-,-,lutador,-,35,6,3,3,4,10,-,61,6,16,9,7
1,58,growlithe,-,-,fogo,-,30,4,4,3,3,6,-,50,4,10,8,6
8,58,growlithe,hisuian growlithe,-,fogo,pedra,30,4,4,3,3,6,-,50,4,10,8,6
1,59,arcanine,-,-,fogo,-,45,6,5,4,4,10,-,74,6,16,11,8
8,59,arcanine,hisuian arcanine,-,fogo,pedra,50,6,5,4,4,9,-,78,6,15,11,8
1,60,poliwag,-,-,agua,-,20,3,2,2,2,9,-,38,3,12,5,4
1,61,poliwhirl,-,-,agua,-,35,4,3,4,3,9,-,58,4,13,7,7
1,62,poliwrath,-,-,agua,lutador,45,5,4,5,5,7,-,71,5,12,9,10
1,63,abra,-,-,psiquico,-,15,1,6,1,3,9,-,35,6,15,7,4
1,64,kadabra,-,-,psiquico,-,20,2,6,2,4,11,-,45,6,17,8,6
1,65,alakazam,-,-,psiquico,-,30,3,7,3,5,12,-,60,7,19,10,8
6,65,alakazam,mega alakazam,-,psiquico,-,30,3,9,4,6,15,-,67,9,24,12,10
1,66,machop,-,-,lutador,-,35,4,2,3,2,4,-,50,4,8,6,5
1,67,machoke,-,-,lutador,-,40,5,3,4,3,5,-,60,5,10,8,7
1,68,machamp,-,-,lutador,-,45,7,4,4,5,6,-,71,7,13,11,9
1,69,bellsprout,-,-,grama,venenoso,25,4,4,2,2,4,-,41,4,8,8,4
1,70,weepinbell,-,-,grama,venenoso,35,5,5,3,3,6,-,57,5,11,10,6
1,71,victreebel,-,-,grama,venenoso,40,6,5,4,4,7,-,66,6,13,11,8
1,72,tentacool,-,-,agua,venenoso,20,2,3,2,5,7,-,39,3,10,5,7
1,73,tentacruel,-,-,agua,venenoso,40,4,4,4,6,10,-,68,4,14,8,10
1,74,geodude,-,-,pedra,terra,20,4,2,5,2,2,-,35,4,6,6,7
7,74,geodude,alolan geodude,-,pedra,eletrico,20,4,2,5,2,2,-,35,4,6,6,7
1,75,graveler,-,-,pedra,terra,30,5,3,6,3,4,-,51,5,9,8,9
7,75,graveler,alolan graveler,-,pedra,eletrico,30,5,3,6,3,4,-,51,5,9,8,9
1,76,golem,-,-,pedra,terra,40,6,3,7,4,5,-,65,6,11,9,11
7,76,golem,alolan golem,-,pedra,eletrico,40,6,3,7,4,5,-,65,6,11,9,11
1,77,ponyta,-,-,fogo,-,25,5,4,3,4,9,-,50,5,14,9,7
8,77,ponyta,galarian ponyta,-,psiquico,-,25,5,4,3,4,9,-,50,5,14,9,7
1,78,rapidash,-,-,fogo,-,35,5,4,4,4,11,-,63,5,16,9,8
8,78,rapidash,galarian rapidash,-,psiquico,fada,35,5,4,4,4,11,-,63,5,16,9,8
1,79,slowpoke,-,-,agua,psiquico,45,4,2,4,2,2,-,59,4,6,6,6
8,79,slowpoke,galarian slowpoke,-,psiquico,-,45,4,2,4,2,2,-,59,4,6,6,6
1,80,slowbro,-,-,agua,psiquico,50,4,5,6,4,3,-,72,5,8,9,10
6,80,slowbro,mega slowbro,-,agua,psiquico,50,4,7,9,4,3,-,77,7,10,11,13
8,80,slowbro,galarian slowbro,-,venenoso,psiquico,50,5,5,5,4,3,-,72,5,8,10,9
1,81,magnemite,-,-,eletrico,aco,15,2,5,4,3,5,-,34,5,10,7,7
1,82,magneton,-,-,eletrico,aco,25,3,6,5,4,7,-,50,6,13,9,9
1,83,farfetch'd,-,-,normal,voador,30,5,3,3,4,6,-,51,5,11,8,7
8,83,farfetch'd,galarian farfetch'd,-,lutador,-,30,5,3,3,4,6,-,51,5,11,8,7
1,84,doduo,-,-,normal,voador,20,5,2,3,2,8,-,40,5,13,7,5
1,85,dodrio,-,-,normal,voador,30,6,3,4,3,11,-,57,6,17,9,7
1,86,seel,-,-,agua,-,35,3,3,3,4,5,-,53,3,8,6,7
1,87,dewgong,-,-,agua,gelo,45,4,4,4,5,7,-,69,4,11,8,9
1,88,grimer,-,-,venenoso,-,40,4,2,3,3,3,-,55,4,7,6,6
7,88,grimer,alolan grimer,-,venenoso,sombrio,40,4,2,3,3,3,-,55,4,7,6,6
1,89,muk,-,-,venenoso,-,55,6,4,4,5,5,-,79,6,11,10,9
7,89,muk,alolan muk,-,venenoso,sombrio,55,6,4,4,5,5,-,79,6,11,10,9
1,90,shellder,-,-,agua,-,15,4,3,5,2,4,-,33,4,8,7,7
1,91,cloyster,-,-,agua,gelo,25,5,5,9,3,7,-,54,5,12,10,12
1,92,gastly,-,-,fantasma,venenoso,15,2,5,2,2,8,-,34,5,13,7,4
1,93,haunter,-,-,fantasma,venenoso,25,3,6,3,3,10,-,50,6,16,9,6
1,94,gengar,-,-,fantasma,venenoso,30,4,7,3,4,11,-,59,7,18,11,7
6,94,gengar,mega gengar,-,fantasma,venenoso,30,4,9,4,5,13,-,65,9,22,13,9
1,95,onix,-,-,pedra,terra,20,3,2,8,3,7,-,43,3,10,5,11
1,96,drowzee,-,-,psiquico,-,30,3,3,3,5,5,-,49,3,8,6,8
1,97,hypno,-,-,psiquico,-,45,4,4,4,6,7,-,70,4,11,8,10
1,98,krabby,-,-,agua,-,15,6,2,5,2,5,-,35,6,11,8,7
1,99,kingler,-,-,agua,-,30,7,3,6,3,8,-,57,7,15,10,9
1,100,voltorb,-,-,eletrico,-,20,2,3,3,3,10,-,41,3,13,5,6
8,100,voltorb,hisuian voltorb,-,eletrico,grama,20,2,3,3,3,10,-,41,3,13,5,6
1,101,electrode,-,-,eletrico,-,30,3,4,4,4,15,-,60,4,19,7,8
8,101,electrode,hisuian electrode,-,eletrico,grama,30,3,4,4,4,15,-,60,4,19,7,8
1,102,exeggcute,-,-,grama,psiquico,30,2,3,4,3,4,-,46,3,7,5,7
1,103,exeggutor,-,-,grama,psiquico,50,5,7,5,4,6,-,77,7,13,12,9
7,103,exeggutor,alolan exeggutor,-,grama,dragao,50,6,7,5,4,5,-,77,7,12,13,9
1,104,cubone,-,-,terra,-,25,3,2,5,3,4,-,42,3,7,5,8
1,105,marowak,-,-,terra,-,30,4,3,6,4,5,-,52,4,9,7,10
7,105,marowak,alolan marowak,-,fogo,fantasma,30,4,3,6,4,5,-,52,4,9,7,10
1,106,hitmonlee,-,-,lutador,-,25,6,2,3,6,9,-,51,6,15,8,9
1,107,hitmonchan,-,-,lutador,-,25,6,2,4,6,8,-,51,6,14,8,10
1,108,lickitung,-,-,normal,-,45,3,3,4,4,3,-,62,3,6,6,8
1,109,koffing,-,-,venenoso,-,20,4,3,5,3,4,-,39,4,8,7,8
1,110,weezing,-,-,venenoso,-,35,5,5,6,4,6,-,61,5,11,10,10
8,110,weezing,galarian weezing,-,venenoso,fada,35,5,5,6,4,6,-,61,5,11,10,10
1,111,rhyhorn,-,-,terra,pedra,40,5,2,5,2,3,-,57,5,8,7,7
1,112,rhydon,-,-,terra,pedra,55,7,3,6,3,4,-,78,7,11,10,9
1,113,chansey,-,-,normal,-,125,1,2,1,6,5,-,140,2,7,3,7
1,114,tangela,-,-,grama,-,35,3,5,6,2,6,-,57,5,11,8,8
1,115,kangaskhan,-,-,normal,-,55,5,2,4,4,9,-,79,5,14,7,8
6,115,kangaskhan,mega kangaskhan,-,normal,-,55,7,3,5,5,10,-,85,7,17,10,10
1,116,horsea,-,-,agua,-,15,2,4,4,2,6,-,33,4,10,6,6
1,117,seadra,-,-,agua,-,30,4,5,5,3,9,-,56,5,14,9,8
1,118,goldeen,-,-,agua,-,25,4,2,3,3,7,-,44,4,11,6,6
1,119,seaking,-,-,agua,-,40,5,4,4,4,7,-,64,5,12,9,8
1,120,staryu,-,-,agua,-,15,3,4,3,3,9,-,37,4,13,7,6
1,121,starmie,-,-,agua,psiquico,30,4,5,5,5,12,-,61,5,17,9,10
1,122,mr. mime,-,-,psiquico,fada,20,3,5,4,6,9,-,47,5,14,8,10
8,122,mr. mime,galarian mr. mime,-,gelo,psiquico,25,4,5,4,5,10,-,53,5,15,9,9
1,123,scyther,-,-,inseto,voador,35,6,3,4,4,11,-,63,6,17,9,8
1,124,jynx,-,-,gelo,psiquico,35,3,6,2,5,10,-,61,6,16,9,7
1,125,electabuzz,-,-,eletrico,-,35,5,5,3,5,11,-,64,5,16,10,8
1,126,magmar,-,-,fogo,-,35,5,5,3,5,10,-,63,5,15,10,8
1,127,pinsir,-,-,inseto,-,35,7,3,5,4,9,-,63,7,16,10,9
6,127,pinsir,mega pinsir,-,inseto,voador,35,8,4,6,5,11,-,69,8,19,12,11
1,128,tauros,-,-,normal,-,40,5,2,5,4,11,-,67,5,16,7,9
9,128,tauros,combat breed,-,lutador,-,40,6,2,6,4,10,-,68,6,16,8,10
9,128,tauros,blaze breed,-,lutador,fogo,40,6,2,6,4,10,-,68,6,16,8,10
9,128,tauros,aqua breed,-,lutador,agua,40,6,2,6,4,10,-,68,6,16,8,10
1,129,magikarp,-,-,agua,-,10,1,1,3,1,8,-,24,1,9,2,4
1,130,gyarados,-,-,agua,voador,50,7,3,4,5,9,-,78,7,16,10,9
6,130,gyarados,mega gyarados,-,agua,sombrio,50,8,4,6,7,9,-,84,8,17,12,13
1,131,lapras,-,-,agua,gelo,65,5,5,4,5,6,-,90,5,11,10,9
1,132,ditto,-,-,normal,-,25,3,3,3,3,5,-,42,3,8,6,6
1,133,eevee,-,-,normal,-,30,3,3,3,4,6,-,49,3,9,6,7
7,133,eevee,partner eevee,-,normal,-,35,4,4,4,5,8,-,60,4,12,8,9
1,134,vaporeon,-,-,agua,-,65,4,6,3,5,7,-,90,6,13,10,8
1,135,jolteon,-,-,eletrico,-,35,4,6,3,5,13,-,66,6,19,10,8
1,136,flareon,-,-,fogo,-,35,7,5,3,6,7,-,63,7,14,12,9
1,137,porygon,-,-,normal,-,35,3,5,4,4,4,-,55,5,9,8,8
1,138,omanyte,-,-,pedra,agua,20,2,5,5,3,4,-,39,5,9,7,8
1,139,omastar,-,-,pedra,agua,35,3,6,7,4,6,-,61,6,12,9,11
1,140,kabuto,-,-,pedra,agua,15,4,3,5,3,6,-,36,4,10,7,8
1,141,kabutops,-,-,pedra,agua,30,6,4,6,4,8,-,58,6,14,10,10
1,142,aerodactyl,-,-,pedra,voador,40,6,3,4,4,13,-,70,6,19,9,8
6,142,aerodactyl,mega aerodactyl,-,pedra,voador,40,7,4,5,5,15,-,76,7,22,11,10
1,143,snorlax,-,-,normal,-,80,6,4,4,6,3,-,103,6,9,10,10
1,144,articuno,-,-,gelo,voador,45,5,5,5,7,9,lend,76,5,14,10,12
8,144,articuno,galarian articuno,-,psiquico,voador,45,5,7,5,5,10,lend,77,7,17,12,10
1,145,zapdos,-,-,eletrico,voador,45,5,7,5,5,10,lend,77,7,17,12,10
8,145,zapdos,galarian zapdos,-,lutador,voador,45,7,5,5,5,10,lend,77,7,17,12,10
1,146,moltres,-,-,fogo,voador,45,5,7,5,5,9,lend,76,7,16,12,10
8,146,moltres,galarian moltres,-,sombrio,voador,45,5,5,5,7,9,lend,76,5,14,10,12
1,147,dratini,-,-,dragao,-,25,4,3,3,3,5,pseudo,43,4,9,7,6
1,148,dragonair,-,-,dragao,-,35,5,4,4,4,7,pseudo,59,5,12,9,8
1,149,dragonite,-,-,dragao,voador,50,7,5,5,5,8,pseudo,80,7,15,12,10
1,150,mewtwo,-,-,psiquico,-,55,6,8,5,5,13,lend,92,8,21,14,10
6,150,mewtwo,mega mewtwo x,-,psiquico,lutador,55,10,8,5,5,13,lend,96,10,23,18,10
6,150,mewtwo,mega mewtwo y,-,psiquico,-,55,8,10,4,6,14,lend,97,10,24,18,10
1,151,mew,-,-,psiquico,-,50,5,5,5,5,10,mit,80,5,15,10,10
2,152,chikorita,-,-,grama,-,25,3,3,4,4,5,-,44,3,8,6,8
2,153,bayleef,-,-,grama,-,30,4,4,4,4,6,-,52,4,10,8,8
2,154,meganium,-,-,grama,-,40,5,5,5,5,8,-,68,5,13,10,10
2,155,cyndaquil,-,-,fogo,-,20,3,3,3,3,7,-,39,3,10,6,6
2,156,quilava,-,-,fogo,-,30,4,4,3,4,8,-,53,4,12,8,7
2,157,typhlosion,-,-,fogo,-,40,5,6,4,5,10,-,70,6,16,11,9
8,157,typhlosion,hisuian typhlosion,-,fogo,fantasma,40,5,6,4,5,10,-,70,6,16,11,9
2,158,totodile,-,-,agua,-,25,4,3,4,3,5,-,44,4,9,7,7
2,159,croconaw,-,-,agua,-,35,4,3,4,4,6,-,56,4,10,7,8
2,160,feraligatr,-,-,agua,-,45,6,4,5,5,8,-,73,6,14,10,10
2,161,sentret,-,-,normal,-,20,3,2,2,3,2,-,32,3,5,5,5
2,162,furret,-,-,normal,-,45,4,3,4,3,9,-,68,4,13,7,7
2,163,hoothoot,-,-,normal,voador,30,2,2,2,3,5,-,44,2,7,4,5
2,164,noctowl,-,-,normal,voador,50,3,5,3,5,7,-,73,5,12,8,8
2,165,ledyba,-,-,inseto,voador,20,1,2,2,4,6,-,35,2,8,3,6
2,166,ledian,-,-,inseto,voador,30,2,3,3,6,9,-,53,3,12,5,9
2,167,spinarak,-,-,inseto,venenoso,20,3,2,2,2,3,-,32,3,6,5,4
2,168,ariados,-,-,inseto,venenoso,35,5,3,4,4,4,-,55,5,9,8,8
2,169,crobat,-,-,venenoso,voador,45,5,4,4,4,13,-,75,5,18,9,8
2,170,chinchou,-,-,agua,eletrico,40,2,3,2,3,7,-,57,3,10,5,5
2,171,lanturn,-,-,agua,eletrico,65,3,4,3,4,7,-,86,4,11,7,7
2,172,pichu,-,-,eletrico,-,10,2,2,1,2,6,-,23,2,8,4,3
2,173,cleffa,-,-,fada,-,25,2,3,2,3,2,-,37,3,5,5,5
2,174,igglybuff,-,-,normal,fada,45,2,2,1,1,2,-,53,2,4,4,2
2,175,togepi,-,-,fada,-,20,1,2,4,4,2,-,33,2,4,3,8
2,176,togetic,-,-,fada,voador,30,2,4,5,6,4,-,51,4,8,6,11
2,177,natu,-,-,psiquico,voador,20,3,4,3,3,7,-,40,4,11,7,6
2,178,xatu,-,-,psiquico,voador,35,4,5,4,4,10,-,62,5,15,9,8
2,179,mareep,-,-,eletrico,-,30,2,4,2,3,4,-,45,4,8,6,5
2,180,flaaffy,-,-,eletrico,-,35,3,4,3,3,5,-,53,4,9,7,6
2,181,ampharos,-,-,eletrico,-,45,4,6,5,5,6,-,71,6,12,10,10
6,181,ampharos,mega ampharos,-,eletrico,dragao,45,5,9,6,6,5,-,76,9,14,14,12
2,182,bellossom,-,-,grama,-,40,4,5,5,5,5,-,64,5,10,9,10
2,183,marill,-,-,agua,fada,35,1,1,3,3,4,-,47,1,5,2,6
2,184,azumarill,-,-,agua,fada,50,3,3,4,4,5,-,69,3,8,6,8
2,185,sudowoodo,-,-,pedra,-,35,5,2,6,4,3,-,55,5,8,7,10
2,186,politoed,-,-,agua,-,45,4,5,4,5,7,-,70,5,12,9,9
2,187,hoppip,-,-,grama,voador,20,2,2,2,3,5,-,34,2,7,4,5
2,188,skiploom,-,-,grama,voador,30,3,3,3,4,8,-,51,3,11,6,7
2,189,jumpluff,-,-,grama,voador,40,3,3,4,5,11,-,66,3,14,6,9
2,190,aipom,-,-,normal,-,30,4,2,3,3,9,-,51,4,13,6,6
2,191,sunkern,-,-,grama,-,15,2,2,2,2,3,-,26,2,5,4,4
2,192,sunflora,-,-,grama,-,40,4,6,3,5,3,-,61,6,9,10,8
2,193,yanma,-,-,inseto,voador,35,4,4,3,3,10,-,59,4,14,8,6
2,194,wooper,-,-,agua,terra,30,3,2,3,2,2,-,42,3,5,5,5
9,194,wooper,paldean wooper,-,venenoso,terra,30,3,2,3,2,2,-,42,3,5,5,5
2,195,quagsire,-,-,agua,terra,50,5,4,5,4,4,-,72,5,9,9,9
2,196,espeon,-,-,psiquico,-,35,4,7,3,5,11,-,65,7,18,11,8
2,197,umbreon,-,-,sombrio,-,50,4,3,6,7,7,-,77,4,11,7,13
2,198,murkrow,-,-,sombrio,voador,30,5,5,3,3,10,-,56,5,15,10,6
2,199,slowking,-,-,agua,psiquico,50,4,5,4,6,3,-,72,5,8,9,10
8,199,slowking,galarian slowking,-,venenoso,psiquico,50,4,6,4,6,3,-,73,6,9,10,10
2,200,misdreavus,-,-,fantasma,-,30,3,5,3,5,9,-,55,5,14,8,8
2,201,unown,-,-,psiquico,-,25,4,4,3,3,5,-,44,4,9,8,6
2,202,wobbuffet,-,-,psiquico,-,95,2,2,3,3,4,-,109,2,6,4,6
2,203,girafarig,-,-,normal,psiquico,35,4,5,4,4,9,-,61,5,14,9,8
2,204,pineco,-,-,inseto,-,25,4,2,5,2,2,-,40,4,6,6,7
2,205,forretress,-,-,inseto,aco,40,5,3,7,3,4,-,62,5,9,8,10
2,206,dunsparce,-,-,normal,-,50,4,4,4,4,5,-,71,4,9,8,8
2,207,gligar,-,-,terra,voador,35,4,2,6,4,9,-,60,4,13,6,10
2,208,steelix,-,-,aco,terra,40,5,3,10,4,3,-,65,5,8,8,14
6,208,steelix,mega steelix,-,aco,terra,40,7,3,12,5,3,-,70,7,10,10,17
2,209,snubbull,-,-,fada,-,30,4,2,3,2,3,-,44,4,7,6,5
2,210,granbull,-,-,fada,-,45,6,3,4,3,5,-,66,6,11,9,7
2,211,qwilfish,-,-,agua,venenoso,35,5,3,5,3,9,-,60,5,14,8,8
8,211,qwilfish,hisuian qwilfish,-,sombrio,venenoso,35,5,3,5,3,9,-,60,5,14,8,8
2,212,scizor,-,-,inseto,aco,35,7,3,5,4,7,-,61,7,14,10,9
6,212,scizor,mega scizor,-,inseto,aco,35,8,4,7,5,8,-,67,8,16,12,12
2,213,shuckle,-,-,inseto,pedra,10,1,1,12,12,1,-,37,1,2,2,24
2,214,heracross,-,-,inseto,lutador,40,7,2,4,5,9,-,67,7,16,9,9
6,214,heracross,mega heracross,-,inseto,lutador,40,10,2,6,6,8,-,72,10,18,12,12
2,215,sneasel,-,-,sombrio,gelo,30,5,2,3,4,12,-,56,5,17,7,7
8,215,sneasel,hisuian sneasel,-,lutador,venenoso,30,5,2,3,4,12,-,56,5,17,7,7
2,216,teddiursa,-,-,normal,-,30,4,3,3,3,4,-,47,4,8,7,6
2,217,ursaring,-,-,normal,-,45,7,4,4,4,6,-,70,7,13,11,8
2,218,slugma,-,-,fogo,-,20,2,4,2,2,2,-,32,4,6,6,4
2,219,magcargo,-,-,fogo,pedra,30,3,5,6,4,3,-,51,5,8,8,10
2,220,swinub,-,-,gelo,terra,25,3,2,2,2,5,-,39,3,8,5,4
2,221,piloswine,-,-,gelo,terra,50,5,3,4,3,5,-,70,5,10,8,7
2,222,corsola,-,-,agua,pedra,35,3,4,5,5,4,-,56,4,8,7,10
8,222,corsola,galarian corsola,-,fantasma,-,30,3,4,5,5,3,-,50,4,7,7,10
2,223,remoraid,-,-,agua,-,20,4,4,2,2,7,-,39,4,11,8,4
2,224,octillery,-,-,agua,-,40,6,6,4,4,5,-,65,6,11,12,8
2,225,delibird,-,-,gelo,voador,25,3,4,3,3,8,-,46,4,12,7,6
2,226,mantine,-,-,agua,voador,45,2,4,4,7,7,-,69,4,11,6,11
2,227,skarmory,-,-,aco,voador,35,4,2,7,4,7,-,59,4,11,6,11
2,228,houndour,-,-,sombrio,fogo,25,3,4,2,3,7,-,44,4,11,7,5
2,229,houndoom,-,-,sombrio,fogo,40,5,6,3,4,10,-,68,6,16,11,7
6,229,houndoom,mega houndoom,-,sombrio,fogo,40,5,7,5,5,12,-,74,7,19,12,10
2,230,kingdra,-,-,agua,dragao,40,5,5,5,5,9,-,69,5,14,10,10
2,231,phanpy,-,-,terra,-,45,3,2,3,2,4,-,59,3,7,5,5
2,232,donphan,-,-,terra,-,45,6,3,6,3,5,-,68,6,11,9,9
2,233,porygon2,-,-,normal,-,45,4,6,5,5,6,-,71,6,12,10,10
2,234,stantler,-,-,normal,-,40,5,5,4,4,9,-,67,5,14,10,8
2,235,smeargle,-,-,normal,-,30,1,1,2,3,8,-,45,1,9,2,5
2,236,tyrogue,-,-,lutador,-,20,2,2,2,2,4,-,32,2,6,4,4
2,237,hitmontop,-,-,lutador,-,25,5,2,5,6,7,-,50,5,12,7,11
2,238,smoochum,-,-,gelo,psiquico,25,2,5,1,4,7,-,44,5,12,7,5
2,239,elekid,-,-,eletrico,-,25,4,4,2,3,10,-,48,4,14,8,5
2,240,magby,-,-,fogo,-,25,4,4,2,3,9,-,47,4,13,8,5
2,241,miltank,-,-,normal,-,50,4,2,6,4,10,-,76,4,14,6,10
2,242,blissey,-,-,normal,-,130,1,4,1,7,6,-,149,4,10,5,8
2,243,raikou,-,-,eletrico,-,45,5,6,4,5,12,lend,77,6,18,11,9
2,244,entei,-,-,fogo,-,60,6,5,5,4,10,lend,90,6,16,11,9
2,245,suicune,-,-,agua,-,50,4,5,6,6,9,lend,80,5,14,9,12
