id;data;produto;categoria;vendas;quantidade;vendedor;regiao;valor_total
91;31/03/2024;Tênis;Acessórios;2830;15;Elisa;Sul;42450
92;01/04/2024;Camiseta;Vestuário;3631;19;Daniel;Sul;68989
93;02/04/2024;Tênis;Acessórios;4551;11;Carla;Leste;50061
94;03/04/2024;Tênis;Vestuário;3035;2;Elisa;Norte;6070
95;04/04/2024;Camiseta;Acessórios;3976;14;Bruno;Centro-Oeste;55664
96;05/04/2024;Tênis;Vestuário;226;2;Carla;Oeste;452
97;06/04/2024;Moletom;Calçados;3277;4;Daniel;Sul;13108
98;07/04/2024;Calça;Vestuário;3156;17;Elisa;Norte;53652
99;08/04/2024;Calça;Acessórios;703;3;Bruno;Leste;2109
100;09/04/2024;Camiseta;Vestuário;3549;13;Carla;Sul;46137
101;10/04/2024;Boné;Vestuário;4246;9;Bruno;Leste;38214
102;11/04/2024;Camiseta;Vestuário;3633;7;Daniel;Oeste;25431
103;12/04/2024;Boné;Calçados;3467;15;Bruno;Centro-Oeste;52005
104;13/04/2024;Calça;Vestuário;3468;11;Ana;Sul;38148
105;14/04/2024;Camiseta;Calçados;3897;2;Carla;Sul;7794
106;15/04/2024;Moletom;Calçados;1892;15;Bruno;Oeste;28380
107;16/04/2024;Tênis;Vestuário;2961;14;Daniel;Norte;41454
108;17/04/2024;Boné;Vestuário;3576;11;Daniel;Centro-Oeste;39336
109;18/04/2024;Tênis;Vestuário;3517;3;Bruno;Sul;10551
110;19/04/2024;Tênis;Acessórios;1745;17;Daniel;Centro-Oeste;29665
111;20/04/2024;Camiseta;Vestuário;1305;12;Elisa;Sul;15660
112;21/04/2024;Tênis;Calçados;3130;15;Elisa;Centro-Oeste;46950
113;22/04/2024;Moletom;Vestuário;2972;16;Elisa;Leste;47552
114;23/04/2024;Tênis;Acessórios;3172;5;Ana;Sul;15860
115;24/04/2024;Camiseta;Vestuário;1954;6;Bruno;Centro-Oeste;11724
116;25/04/2024;Moletom;Acessórios;4121;19;Ana;Norte;78299
117;26/04/2024;Calça;Acessórios;4762;5;Daniel;Leste;23810
118;27/04/2024;Tênis;Vestuário;2808;3;Ana;Leste;8424
119;28/04/2024;Camiseta;Calçados;3602;1;Daniel;Norte;3602
120;29/04/2024;Calça;Acessórios;1432;6;Daniel;Centro-Oeste;8592
121;30/04/2024;Calça;Vestuário;301;15;Carla;Oeste;4515
122;01/05/2024;Boné;Vestuário;3607;2;Elisa;Norte;7214
123;02/05/2024;Moletom;Calçados;4312;3;Daniel;Centro-Oeste;12936
124;03/05/2024;Tênis;Acessórios;674;17;Carla;Norte;11458
125;04/05/2024;Camiseta;Acessórios;636;12;Elisa;Norte;7632
126;05/05/2024;Boné;Vestuário;1725;18;Daniel;Sul;31050
127;06/05/2024;Moletom;Vestuário;2222;15;Daniel;Centro-Oeste;33330
128;07/05/2024;Boné;Calçados;485;12;Ana;Oeste;5820
129;08/05/2024;Moletom;Calçados;3381;16;Ana;Sul;54096
130;09/05/2024;Moletom;Acessórios;574;8;Elisa;Norte;4592
131;10/05/2024;Tênis;Acessórios;517;14;Daniel;Norte;7238
132;11/05/2024;Moletom;Vestuário;3700;17;Bruno;Norte;62900
133;12/05/2024;Boné;Acessórios;1054;8;Ana;Centro-Oeste;8432
134;13/05/2024;Moletom;Calçados;4958;15;Elisa;Centro-Oeste;74370
135;14/05/2024;Tênis;Calçados;1305;14;Daniel;Sul;18270
136;15/05/2024;Tênis;Vestuário;4859;18;Daniel;Oeste;87462
137;16/05/2024;Boné;Calçados;4220;7;Bruno;Sul;29540
138;17/05/2024;Calça;Calçados;2090;3;Elisa;Leste;6270
139;18/05/2024;Calça;Calçados;4905;12;Daniel;Norte;58860
140;19/05/2024;Moletom;Calçados;3672;3;Ana;Norte;11016
141;20/05/2024;Camiseta;Vestuário;4480;14;Bruno;Norte;62720
142;21/05/2024;Moletom;Vestuário;4258;15;Elisa;Sul;63870
143;22/05/2024;Boné;Acessórios;4857;14;Bruno;Sul;67998
144;23/05/2024;Boné;Calçados;2813;7;Ana;Norte;19691
145;24/05/2024;Boné;Acessórios;2303;17;Elisa;Sul;39151
146;25/05/2024;Boné;Vestuário;3220;12;Bruno;Centro-Oeste;38640
147;26/05/2024;Boné;Vestuário;1066;4;Carla;Centro-Oeste;4264
148;27/05/2024;Tênis;Vestuário;3532;9;Ana;Sul;31788
149;28/05/2024;Calça;Vestuário;788;6;Ana;Norte;4728
150;29/05/2024;Boné;Vestuário;4343;16;Ana;Sul;69488
151;30/05/2024;Camiseta;Vestuário;3801;2;Carla;Sul;7602
152;31/05/2024;Camiseta;Vestuário;441;8;Carla;Sul;3528
153;01/06/2024;Camiseta;Calçados;1824;11;Daniel;Leste;20064
154;02/06/2024;Camiseta;Acessórios;4522;13;Bruno;Centro-Oeste;58786
155;03/06/2024;Tênis;Vestuário;1892;17;Daniel;Oeste;32164
156;04/06/2024;Camiseta;Calçados;1859;8;Bruno;Oeste;14872
157;05/06/2024;Boné;Calçados;3312;18;Carla;Leste;59616
158;06/06/2024;Moletom;Acessórios;1089;18;Carla;Sul;19602
159;07/06/2024;Camiseta;Vestuário;2362;14;Daniel;Leste;33068
160;08/06/2024;Tênis;Acessórios;2582;15;Elisa;Leste;38730
161;09/06/2024;Tênis;Vestuário;1051;6;Daniel;Norte;6306
162;10/06/2024;Camiseta;Calçados;822;11;Bruno;Centro-Oeste;9042
163;11/06/2024;Moletom;Calçados;3489;13;Daniel;Oeste;45357
164;12/06/2024;Camiseta;Calçados;2179;1;Ana;Sul;2179
165;13/06/2024;Tênis;Calçados;2817;6;Bruno;Oeste;16902
166;14/06/2024;Calça;Acessórios;2432;9;Bruno;Oeste;21888
167;15/06/2024;Boné;Vestuário;3476;8;Elisa;Centro-Oeste;27808
168;16/06/2024;Tênis;Vestuário;4624;11;Carla;Oeste;50864
169;17/06/2024;Camiseta;Acessórios;1600;19;Bruno;Oeste;30400
170;18/06/2024;Boné;Vestuário;385;9;Carla;Leste;3465
171;19/06/2024;Camiseta;Calçados;3595;17;Daniel;Centro-Oeste;61115
172;20/06/2024;Camiseta;Vestuário;2165;12;Ana;Norte;25980
173;21/06/2024;Calça;Calçados;868;14;Elisa;Sul;12152
174;22/06/2024;Boné;Acessórios;3157;15;Carla;Oeste;47355
175;23/06/2024;Boné;Vestuário;4389;16;Bruno;Sul;70224
176;24/06/2024;Calça;Acessórios;2261;1;Carla;Norte;2261
177;25/06/2024;Tênis;Vestuário;3393;10;Bruno;Sul;33930
178;26/06/2024;Camiseta;Calçados;1046;8;Carla;Norte;8368
179;27/06/2024;Moletom;Acessórios;3435;18;Bruno;Leste;61830
180;28/06/2024;Camiseta;Vestuário;4250;1;Daniel;Oeste;4250
181;29/06/2024;Camiseta;Calçados;4995;2;Bruno;Norte;9990
182;30/06/2024;Tênis;Acessórios;4973;1;Bruno;Sul;4973
183;01/07/2024;Camiseta;Acessórios;1581;1;Ana;Oeste;1581
184;02/07/2024;Calça;Vestuário;2001;9;Bruno;Leste;18009
185;03/07/2024;Calça;Vestuário;3551;13;Ana;Oeste;46163
186;04/07/2024;Boné;Vestuário;4164;1;Elisa;Norte;4164
187;05/07/2024;Moletom;Calçados;154;13;Ana;Leste;2002
188;06/07/2024;Camiseta;Vestuário;1923;7;Daniel;Sul;13461
189;07/07/2024;Camiseta;Acessórios;3562;2;Ana;Leste;7124
190;08/07/2024;Tênis;Acessórios;3179;6;Elisa;Leste;19074
191;09/07/2024;Calça;Vestuário;932;7;Daniel;Centro-Oeste;6524
192;10/07/2024;Moletom;Vestuário;4508;14;Carla;Leste;63112
193;11/07/2024;Boné;Acessórios;2906;18;Carla;Leste;52308
194;12/07/2024;Calça;Calçados;2590;15;Ana;Oeste;38850
195;13/07/2024;Boné;Vestuário;427;2;Ana;Sul;854
196;14/07/2024;Tênis;Vestuário;3410;10;Elisa;Oeste;34100
197;15/07/2024;Tênis;Acessórios;3400;12;Elisa;Oeste;40800
198;16/07/2024;Camiseta;Vestuário;3775;17;Bruno;Norte;64175
199;17/07/2024;Moletom;Calçados;3154;8;Elisa;Oeste;25232
200;18/07/2024;Boné;Acessórios;2243;11;Bruno;Centro-Oeste;24673
201;19/07/2024;Calça;Vestuário;1411;3;Daniel;Centro-Oeste;4233
202;20/07/2024;Tênis;Acessórios;3291;6;Ana;Norte;19746
203;21/07/2024;Camiseta;Vestuário;2638;9;Daniel;Sul;23742
204;22/07/2024;Camiseta;Vestuário;4083;6;Elisa;Sul;24498
205;23/07/2024;Boné;Vestuário;4647;9;Daniel;Oeste;41823
206;24/07/2024;Tênis;Calçados;264;7;Daniel;Oeste;1848
207;25/07/2024;Moletom;Calçados;4377;9;Daniel;Oeste;39393
208;26/07/2024;Tênis;Acessórios;922;18;Elisa;Sul;16596
209;27/07/2024;Boné;Vestuário;1043;12;Daniel;Leste;12516
210;28/07/2024;Boné;Vestuário;4525;8;Bruno;Centro-Oeste;36200
211;29/07/2024;Tênis;Calçados;874;8;Elisa;Leste;6992
212;30/07/2024;Boné;Vestuário;2298;18;Daniel;Leste;41364
213;31/07/2024;Tênis;Calçados;3256;15;Elisa;Sul;48840
214;01/08/2024;Calça;Vestuário;4342;7;Carla;Leste;30394
215;02/08/2024;Tênis;Acessórios;3795;11;Bruno;Norte;41745
216;03/08/2024;Tênis;Vestuário;3552;16;Daniel;Oeste;56832
217;04/08/2024;Boné;Vestuário;1014;4;Carla;Norte;4056
218;05/08/2024;Boné;Calçados;1408;6;Carla;Centro-Oeste;8448
219;06/08/2024;Camiseta;Vestuário;4277;3;Elisa;Oeste;12831
220;07/08/2024;Camiseta;Vestuário;613;9;Carla;Leste;5517
221;08/08/2024;Calça;Calçados;2020;10;Bruno;Centro-Oeste;20200
222;09/08/2024;Camiseta;Acessórios;3694;14;Bruno;Oeste;51716
223;10/08/2024;Tênis;Acessórios;4941;11;Ana;Leste;54351
224;11/08/2024;Boné;Calçados;1509;18;Bruno;Norte;27162
225;12/08/2024;Camiseta;Calçados;4902;12;Carla;Oeste;58824
226;13/08/2024;Camiseta;Calçados;4666;12;Bruno;Leste;55992
227;14/08/2024;Calça;Calçados;3290;13;Elisa;Norte;42770
228;15/08/2024;Calça;Calçados;4591;13;Ana;Centro-Oeste;59683
229;16/08/2024;Tênis;Acessórios;1655;19;Carla;Centro-Oeste;31445
230;17/08/2024;Boné;Acessórios;904;19;Ana;Centro-Oeste;17176
231;18/08/2024;Calça;Calçados;1379;14;Carla;Centro-Oeste;19306
232;19/08/2024;Camiseta;Vestuário;3677;4;Elisa;Sul;14708
233;20/08/2024;Boné;Calçados;3001;13;Ana;Oeste;39013
234;21/08/2024;Boné;Vestuário;1487;8;Daniel;Oeste;11896
235;22/08/2024;Camiseta;Calçados;4788;19;Carla;Sul;90972
236;23/08/2024;Calça;Calçados;2861;12;Daniel;Leste;34332
237;24/08/2024;Camiseta;Acessórios;2779;18;Ana;Leste;50022
238;25/08/2024;Boné;Vestuário;2206;6;Daniel;Centro-Oeste;13236
239;26/08/2024;Moletom;Vestuário;4323;18;Daniel;Norte;77814
240;27/08/2024;Moletom;Acessórios;4931;19;Ana;Leste;93689
241;28/08/2024;Tênis;Acessórios;2868;5;Elisa;Norte;14340
242;29/08/2024;Camiseta;Acessórios;4053;9;Daniel;Oeste;36477
243;30/08/2024;Camiseta;Acessórios;3286;3;Daniel;Norte;9858
244;31/08/2024;Tênis;Vestuário;3380;10;Elisa;Oeste;33800
245;01/09/2024;Tênis;Vestuário;2673;19;Daniel;Sul;50787
246;02/09/2024;Tênis;Calçados;4716;3;Daniel;Sul;14148
247;03/09/2024;Boné;Calçados;2699;15;Daniel;Centro-Oeste;40485
248;04/09/2024;Camiseta;Acessórios;4133;1;Bruno;Leste;4133
249;05/09/2024;Boné;Acessórios;336;7;Elisa;Centro-Oeste;2352
250;06/09/2024;Tênis;Acessórios;1404;12;Daniel;Oeste;16848
251;07/09/2024;Camiseta;Calçados;3530;17;Elisa;Centro-Oeste;60010
252;08/09/2024;Boné;Calçados;1401;5;Carla;Norte;7005
253;09/09/2024;Boné;Calçados;2641;4;Carla;Oeste;10564
254;10/09/2024;Tênis;Calçados;2151;12;Daniel;Sul;25812
255;11/09/2024;Camiseta;Calçados;541;18;Elisa;Leste;9738
256;12/09/2024;Tênis;Calçados;2176;17;Elisa;Oeste;36992
257;13/09/2024;Camiseta;Calçados;3280;19;Elisa;Oeste;62320
258;14/09/2024;Moletom;Acessórios;2757;9;Bruno;Norte;24813
259;15/09/2024;Calça;Acessórios;3898;4;Carla;Leste;15592
260;16/09/2024;Calça;Acessórios;904;2;Elisa;Sul;1808
261;17/09/2024;Calça;Acessórios;174;4;Elisa;Oeste;696
262;18/09/2024;Tênis;Calçados;2275;2;Bruno;Oeste;4550
263;19/09/2024;Moletom;Vestuário;4024;15;Bruno;Norte;60360
264;20/09/2024;Camiseta;Calçados;2189;2;Elisa;Centro-Oeste;4378
265;21/09/2024;Boné;Vestuário;140;4;Ana;Sul;560
266;22/09/2024;Camiseta;Acessórios;2181;6;Elisa;Leste;13086
267;23/09/2024;Boné;Calçados;4783;7;Elisa;Oeste;33481
268;24/09/2024;Camiseta;Acessórios;1722;10;Bruno;Oeste;17220
269;25/09/2024;Moletom;Calçados;441;19;Bruno;Sul;8379
270;26/09/2024;Boné;Acessórios;4152;19;Elisa;Centro-Oeste;78888
271;27/09/2024;Tênis;Vestuário;2174;12;Elisa;Oeste;26088
272;28/09/2024;Camiseta;Vestuário;745;3;Elisa;Sul;2235
273;29/09/2024;Camiseta;Vestuário;4926;13;Bruno;Norte;64038
274;30/09/2024;Boné;Calçados;4363;18;Elisa;Centro-Oeste;78534
275;01/10/2024;Tênis;Vestuário;709;8;Elisa;Leste;5672
276;02/10/2024;Tênis;Calçados;554;15;Daniel;Oeste;8310
277;03/10/2024;Moletom;Vestuário;3053;1;Ana;Sul;3053
278;04/10/2024;Tênis;Vestuário;1808;3;Carla;Norte;5424
279;05/10/2024;Tênis;Calçados;3572;8;Ana;Leste;28576
280;06/10/2024;Tênis;Calçados;3069;4;Daniel;Sul;12276
281;07/10/2024;Calça;Vestuário;3128;16;Carla;Sul;50048
282;08/10/2024;Moletom;Calçados;4897;10;Elisa;Leste;48970
283;09/10/2024;Camiseta;Vestuário;2781;12;Daniel;Norte;33372
284;10/10/2024;Boné;Calçados;3729;14;Elisa;Norte;52206
285;11/10/2024;Camiseta;Acessórios;4325;14;Bruno;Centro-Oeste;60550
286;12/10/2024;Moletom;Acessórios;3167;2;Daniel;Oeste;6334
287;13/10/2024;Boné;Acessórios;1486;5;Bruno;Leste;7430
288;14/10/2024;Moletom;Acessórios;3876;5;Daniel;Leste;19380
289;15/10/2024;Tênis;Acessórios;2966;6;Daniel;Leste;17796
290;16/10/2024;Boné;Vestuário;4888;13;Bruno;Norte;63544
291;17/10/2024;Tênis;Acessórios;3463;9;Carla;Oeste;31167
292;18/10/2024;Camiseta;Acessórios;4989;15;Ana;Centro-Oeste;74835
293;19/10/2024;Camiseta;Acessórios;4224;14;Elisa;Sul;59136
294;20/10/2024;Boné;Acessórios;248;7;Daniel;Sul;1736
295;21/10/2024;Boné;Calçados;3950;2;Elisa;Leste;7900
296;22/10/2024;Moletom;Vestuário;2158;7;Bruno;Oeste;15106
297;23/10/2024;Moletom;Acessórios;1236;6;Elisa;Norte;7416
298;24/10/2024;Tênis;Acessórios;286;17;Bruno;Oeste;4862
299;25/10/2024;Boné;Acessórios;2954;2;Elisa;Oeste;5908
300;26/10/2024;Camiseta;Vestuário;1350;3;Ana;Norte;4050
301;27/10/2024;Moletom;Calçados;1433;5;Ana;Leste;7165
302;28/10/2024;Moletom;Vestuário;4293;5;Ana;Oeste;21465
303;29/10/2024;Camiseta;Calçados;4250;1;Ana;Sul;4250
304;30/10/2024;Moletom;Acessórios;2811;8;Ana;Norte;22488
305;31/10/2024;Tênis;Acessórios;4953;12;Ana;Centro-Oeste;59436
306;01/11/2024;Boné;Vestuário;4601;4;Bruno;Leste;18404
307;02/11/2024;Camiseta;Vestuário;1885;13;Daniel;Norte;24505
308;03/11/2024;Boné;Calçados;850;15;Elisa;Centro-Oeste;12750
309;04/11/2024;Moletom;Calçados;1862;11;Ana;Centro-Oeste;20482
310;05/11/2024;Moletom;Vestuário;4020;10;Bruno;Oeste;40200
311;06/11/2024;Camiseta;Calçados;4560;3;Bruno;Oeste;13680
312;07/11/2024;Tênis;Vestuário;581;14;Bruno;Oeste;8134
313;08/11/2024;Calça;Calçados;253;16;Daniel;Norte;4048
314;09/11/2024;Camiseta;Vestuário;1624;10;Elisa;Norte;16240
315;10/11/2024;Calça;Vestuário;2220;10;Daniel;Leste;22200
316;11/11/2024;Calça;Vestuário;2443;12;Carla;Oeste;29316
317;12/11/2024;Tênis;Calçados;1340;9;Bruno;Centro-Oeste;12060
318;13/11/2024;Calça;Calçados;160;1;Carla;Sul;160
319;14/11/2024;Calça;Calçados;1038;5;Ana;Leste;5190
320;15/11/2024;Tênis;Vestuário;1739;8;Ana;Norte;13912
321;16/11/2024;Calça;Calçados;4220;11;Daniel;Leste;46420
322;17/11/2024;Calça;Calçados;4326;12;Elisa;Leste;51912
323;18/11/2024;Calça;Vestuário;3669;1;Carla;Leste;3669
324;19/11/2024;Camiseta;Acessórios;1352;11;Elisa;Leste;14872
325;20/11/2024;Camiseta;Vestuário;4303;5;Daniel;Sul;21515
326;21/11/2024;Camiseta;Calçados;271;15;Ana;Oeste;4065
327;22/11/2024;Tênis;Vestuário;1558;5;Elisa;Centro-Oeste;7790
328;23/11/2024;Moletom;Acessórios;3649;12;Elisa;Leste;43788
329;24/11/2024;Calça;Vestuário;4297;5;Ana;Leste;21485
330;25/11/2024;Calça;Calçados;2422;17;Carla;Leste;41174
331;26/11/2024;Tênis;Acessórios;1736;17;Ana;Oeste;29512
332;27/11/2024;Calça;Calçados;3215;12;Elisa;Norte;38580
333;28/11/2024;Camiseta;Acessórios;4190;15;Carla;Norte;62850
334;29/11/2024;Moletom;Acessórios;3104;15;Carla;Sul;46560
335;30/11/2024;Boné;Vestuário;429;6;Ana;Norte;2574
336;01/12/2024;Calça;Vestuário;3740;12;Elisa;Leste;44880
337;02/12/2024;Camiseta;Calçados;3994;18;Daniel;Leste;71892
338;03/12/2024;Boné;Vestuário;4207;14;Elisa;Leste;58898
339;04/12/2024;Moletom;Vestuário;1441;2;Bruno;Sul;2882
340;05/12/2024;Boné;Acessórios;3763;9;Daniel;Leste;33867
341;06/12/2024;Camiseta;Vestuário;315;5;Carla;Norte;1575
342;07/12/2024;Boné;Acessórios;438;1;Daniel;Oeste;438
343;08/12/2024;Tênis;Acessórios;4162;3;Carla;Oeste;12486
344;09/12/2024;Boné;Acessórios;2808;6;Carla;Centro-Oeste;16848
345;10/12/2024;Calça;Calçados;3252;5;Daniel;Norte;16260
346;11/12/2024;Calça;Calçados;1850;5;Carla;Leste;9250
347;12/12/2024;Tênis;Calçados;2521;1;Carla;Oeste;2521
348;13/12/2024;Camiseta;Acessórios;809;17;Bruno;Norte;13753
349;14/12/2024;Calça;Calçados;3826;19;Elisa;Oeste;72694
350;15/12/2024;Moletom;Calçados;3742;14;Elisa;Leste;52388
351;16/12/2024;Calça;Vestuário;4093;12;Bruno;Oeste;49116
352;17/12/2024;Calça;Calçados;588;10;Daniel;Centro-Oeste;5880
353;18/12/2024;Camiseta;Calçados;146;18;Ana;Centro-Oeste;2628
354;19/12/2024;Boné;Acessórios;3459;11;Ana;Oeste;38049
355;20/12/2024;Calça;Acessórios;4973;2;Ana;Norte;9946
356;21/12/2024;Tênis;Acessórios;4906;18;Bruno;Norte;88308
357;22/12/2024;Boné;Acessórios;500;7;Bruno;Norte;3500
358;23/12/2024;Moletom;Acessórios;4090;15;Carla;Oeste;61350
359;24/12/2024;Camiseta;Acessórios;3257;11;Ana;Norte;35827
360;25/12/2024;Moletom;Calçados;4445;18;Daniel;Leste;80010
361;26/12/2024;Boné;Acessórios;490;12;Daniel;Centro-Oeste;5880
362;27/12/2024;Boné;Acessórios;3953;6;Ana;Leste;23718
363;28/12/2024;Boné;Vestuário;4530;13;Ana;Norte;58890
364;29/12/2024;Moletom;Calçados;728;16;Ana;Leste;11648
365;30/12/2024;Boné;Calçados;4332;18;Bruno;Norte;77976
366;31/12/2024;Moletom;Calçados;3030;10;Bruno;Oeste;30300
367;01/01/2025;Boné;Acessórios;1621;8;Bruno;Leste;12968
368;02/01/2025;Tênis;Acessórios;926;18;Elisa;Oeste;16668
369;03/01/2025;Boné;Acessórios;4922;1;Daniel;Oeste;4922
370;04/01/2025;Moletom;Vestuário;1600;8;Daniel;Sul;12800
371;05/01/2025;Calça;Acessórios;3394;6;Carla;Norte;20364
372;06/01/2025;Boné;Vestuário;2519;5;Bruno;Centro-Oeste;12595
373;07/01/2025;Calça;Calçados;1034;15;Elisa;Norte;15510
374;08/01/2025;Tênis;Acessórios;3142;15;Elisa;Centro-Oeste;47130
375;09/01/2025;Camiseta;Vestuário;4597;2;Daniel;Norte;9194
376;10/01/2025;Tênis;Vestuário;1566;1;Bruno;Oeste;1566
