Geração,ID,Nome,Forma,Estágio,Tipo 1,Tipo 2,HP,Ataque,Ataque Especial,Defesa,Defesa Especial,Velocidade,Pseudo/Mítico/ Lendário
1,37,Vulpix,,,Fogo,,20,3,3,2,4,7,
7,37,Vulpix,Alolan Vulpix,,Gelo,,20,3,3,2,4,7,
1,38,Ninetales,,,Fogo,,40,4,5,4,5,10,
7,38,Ninetales,Alolan Ninetales,,Gelo,Fada,40,4,5,4,5,11,
1,39,Jigglypuff,,,Normal,Fada,60,3,3,1,2,2,
1,40,Wigglytuff,,,Normal,Fada,70,4,5,3,3,5,
1,41,Zubat,,,Venenoso,Voador,20,3,2,2,2,6,
1,42,Golbat,,,Venenoso,Voador,40,4,4,4,4,9,
1,43,Oddish,,,Grama,Venenoso,25,3,4,3,4,3,
1,44,Gloom,,,Grama,Venenoso,30,4,5,4,4,4,
1,45,Vileplume,,,Grama,Venenoso,40,4,6,5,5,5,
1,46,Paras,,,Inseto,Grama,20,4,3,3,3,3,
1,47,Parasect,,,Inseto,Grama,30,5,3,4,4,3,
1,48,Venonat,,,Inseto,Venenoso,30,3,2,3,3,5,
1,49,Venomoth,,,Inseto,Venenoso,35,4,5,3,4,9,
1,50,Diglett,,,Terra,,5,3,2,2,3,10,
7,50,Diglett,Alolan Diglett,,Terra,Aço,5,3,2,2,3,9,
1,51,Dugtrio,,,Terra,,20,5,3,3,4,12,
7,51,Dugtrio,Alolan Dugtrio,,Terra,Aço,20,5,3,3,4,11,
1,52,Meowth,,,Normal,,20,3,2,2,2,9,
7,52,Meowth,Alolan Meowth,,Sombrio,,20,2,3,2,2,9,
8,52,Meowth,Galarian Meowth,,Aço,,25,4,2,3,2,4,
1,53,Persian,,,Normal,,35,4,4,3,4,12,
7,53,Persian,Alolan Persian,,Sombrio,,35,3,4,3,4,12,
1,54,Psyduck,,,Água,,25,3,4,3,3,6,
1,55,Golduck,,,Água,,40,5,5,4,4,9,
1,56,Mankey,,,Lutador,,20,4,2,2,3,7,
1,57,Primeape,,,Lutador,,35,6,3,3,4,10,
1,58,Growlithe,,,Fogo,,30,4,4,3,3,6,
8,58,Growlithe,Hisuian Growlithe,,Fogo,Pedra,30,4,4,3,3,6,
1,59,Arcanine,,,Fogo,,45,6,5,4,4,10,
8,59,Arcanine,Hisuian Arcanine,,Fogo,Pedra,50,6,5,4,4,9,
1,60,Poliwag,,,Água,,20,3,2,2,2,9,
1,61,Poliwhirl,,,Água,,35,4,3,4,3,9,
1,62,Poliwrath,,,Água,Lutador,45,5,4,5,5,7,
1,63,Abra,,,Psíquico,,15,1,6,1,3,9,
1,64,Kadabra,,,Psíquico,,20,2,6,2,4,11,
1,65,Alakazam,,,Psíquico,,30,3,7,3,5,12,
6,65,Alakazam,Mega Alakazam,,Psíquico,,30,3,9,4,6,15,
1,66,Machop,,,Lutador,,35,4,2,3,2,4,
1,67,Machoke,,,Lutador,,40,5,3,4,3,5,
1,68,Machamp,,,Lutador,,45,7,4,4,5,6,
1,69,Bellsprout,,,Grama,Venenoso,25,4,4,2,2,4,
1,70,Weepinbell,,,Grama,Venenoso,35,5,5,3,3,6,
1,71,Victreebel,,,Grama,Venenoso,40,6,5,4,4,7,
1,72,Tentacool,,,Água,Venenoso,20,2,3,2,5,7,
1,73,Tentacruel,,,Água,Venenoso,40,4,4,4,6,10,
1,74,Geodude,,,Pedra,Terra,20,4,2,5,2,2,
7,74,Geodude,Alolan Geodude,,Pedra,Elétrico,20,4,2,5,2,2,
1,75,Graveler,,,Pedra,Terra,30,5,3,6,3,4,
7,75,Graveler,Alolan Graveler,,Pedra,Elétrico,30,5,3,6,3,4,
1,76,Golem,,,Pedra,Terra,40,6,3,7,4,5,
7,76,Golem,Alolan Golem,,Pedra,Elétrico,40,6,3,7,4,5,
1,77,Ponyta,,,Fogo,,25,5,4,3,4,9,
8,77,Ponyta,Galarian Ponyta,,Psíquico,,25,5,4,3,4,9,
1,78,Rapidash,,,Fogo,,35,5,4,4,4,11,
8,78,Rapidash,Galarian Rapidash,,Psíquico,Fada,35,5,4,4,4,11,
1,79,Slowpoke,,,Água,Psíquico,45,4,2,4,2,2,
8,79,Slowpoke,Galarian Slowpoke,,Psíquico,,45,4,2,4,2,2,
1,80,Slowbro,,,Água,Psíquico,50,4,5,6,4,3,
6,80,Slowbro,Mega Slowbro,,Água,Psíquico,50,4,7,9,4,3,
8,80,Slowbro,Galarian Slowbro,,Venenoso,Psíquico,50,5,5,5,4,3,
1,81,Magnemite,,,Elétrico,Aço,15,2,5,4,3,5,
1,82,Magneton,,,Elétrico,Aço,25,3,6,5,4,7,
1,83,Farfetch'd,,,Normal,Voador,30,5,3,3,4,6,
8,83,Farfetch'd,Galarian Farfetch'd,,Lutador,,30,5,3,3,4,6,
1,84,Doduo,,,Normal,Voador,20,5,2,3,2,8,
1,85,Dodrio,,,Normal,Voador,30,6,3,4,3,11,
1,86,Seel,,,Água,,35,3,3,3,4,5,
1,87,Dewgong,,,Água,Gelo,45,4,4,4,5,7,
1,88,Grimer,,,Venenoso,,40,4,2,3,3,3,
7,88,Grimer,Alolan Grimer,,Venenoso,Sombrio,40,4,2,3,3,3,
1,89,Muk,,,Venenoso,,55,6,4,4,5,5,
7,89,Muk,Alolan Muk,,Venenoso,Sombrio,55,6,4,4,5,5,
1,90,Shellder,,,Água,,15,4,3,5,2,4,
1,91,Cloyster,,,Água,Gelo,25,5,5,9,3,7,
1,92,Gastly,,,Fantasma,Venenoso,15,2,5,2,2,8,
1,93,Haunter,,,Fantasma,Venenoso,25,3,6,3,3,10,
1,94,Gengar,,,Fantasma,Venenoso,30,4,7,3,4,11,
6,94,Gengar,Mega Gengar,,Fantasma,Venenoso,30,4,9,4,5,13,
1,95,Onix,,,Pedra,Terra,20,3,2,8,3,7,
1,96,Drowzee,,,Psíquico,,30,3,3,3,5,5,
1,97,Hypno,,,Psíquico,,45,4,4,4,6,7,
1,98,Krabby,,,Água,,15,6,2,5,2,5,
1,99,Kingler,,,Água,,30,7,3,6,3,8,
1,100,Voltorb,,,Elétrico,,20,2,3,3,3,10,
8,100,Voltorb,Hisuian Voltorb,,Elétrico,Grama,20,2,3,3,3,10,
1,101,Electrode,,,Elétrico,,30,3,4,4,4,15,
8,101,Electrode,Hisuian Electrode,,Elétrico,Grama,30,3,4,4,4,15,
1,102,Exeggcute,,,Grama,Psíquico,30,2,3,4,3,4,
1,103,Exeggutor,,,Grama,Psíquico,50,5,7,5,4,6,
7,103,Exeggutor,Alolan Exeggutor,,Grama,Dragão,50,6,7,5,4,5,
1,104,Cubone,,,Terra,,25,3,2,5,3,4,
1,105,Marowak,,,Terra,,30,4,3,6,4,5,
7,105,Marowak,Alolan Marowak,,Fogo,Fantasma,30,4,3,6,4,5,
1,106,Hitmonlee,,,Lutador,,25,6,2,3,6,9,
1,107,Hitmonchan,,,Lutador,,25,6,2,4,6,8,
1,108,Lickitung,,,Normal,,45,3,3,4,4,3,
1,109,Koffing,,,Venenoso,,20,4,3,5,3,4,
1,110,Weezing,,,Venenoso,,35,5,5,6,4,6,
8,110,Weezing,Galarian Weezing,,Venenoso,Fada,35,5,5,6,4,6,
1,111,Rhyhorn,,,Terra,Pedra,40,5,2,5,2,3,
1,112,Rhydon,,,Terra,Pedra,55,7,3,6,3,4,
1,113,Chansey,,,Normal,,125,1,2,1,6,5,
1,114,Tangela,,,Grama,,35,3,5,6,2,6,
1,115,Kangaskhan,,,Normal,,55,5,2,4,4,9,
6,115,Kangaskhan,Mega Kangaskhan,,Normal,,55,7,3,5,5,10,
1,116,Horsea,,,Água,,15,2,4,4,2,6,
1,117,Seadra,,,Água,,30,4,5,5,3,9,
1,118,Goldeen,,,Água,,25,4,2,3,3,7,
1,119,Seaking,,,Água,,40,5,4,4,4,7,
1,120,Staryu,,,Água,,15,3,4,3,3,9,
1,121,Starmie,,,Água,Psíquico,30,4,5,5,5,12,
1,122,Mr. Mime,,,Psíquico,Fada,20,3,5,4,6,9,
8,122,Mr. Mime,Galarian Mr. Mime,,Gelo,Psíquico,25,4,5,4,5,10,
1,123,Scyther,,,Inseto,Voador,35,6,3,4,4,11,
1,124,Jynx,,,Gelo,Psíquico,35,3,6,2,5,10,
1,125,Electabuzz,,,Elétrico,,35,5,5,3,5,11,
1,126,Magmar,,,Fogo,,35,5,5,3,5,10,
1,127,Pinsir,,,Inseto,,35,7,3,5,4,9,
6,127,Pinsir,Mega Pinsir,,Inseto,Voador,35,8,4,6,5,11,
1,128,Tauros,,,Normal,,40,5,2,5,4,11,
9,128,Tauros,Combat Breed,,Lutador,,40,6,2,6,4,10,
9,128,Tauros,Blaze Breed,,Lutador,Fogo,40,6,2,6,4,10,
9,128,Tauros,Aqua Breed,,Lutador,Água,40,6,2,6,4,10,
1,129,Magikarp,,,Água,,10,1,1,3,1,8,
1,130,Gyarados,,,Água,Voador,50,7,3,4,5,9,
6,130,Gyarados,Mega Gyarados,,Água,Sombrio,50,8,4,6,7,9,
1,131,Lapras,,,Água,Gelo,65,5,5,4,5,6,
1,132,Ditto,,,Normal,,25,3,3,3,3,5,
1,133,Eevee,,,Normal,,30,3,3,3,4,6,
7,133,Eevee,Partner Eevee,,Normal,,35,4,4,4,5,8,
1,134,Vaporeon,,,Água,,65,4,6,3,5,7,
1,135,Jolteon,,,Elétrico,,35,4,6,3,5,13,
1,136,Flareon,,,Fogo,,35,7,5,3,6,7,
1,137,Porygon,,,Normal,,35,3,5,4,4,4,
1,138,Omanyte,,,Pedra,Água,20,2,5,5,3,4,
1,139,Omastar,,,Pedra,Água,35,3,6,7,4,6,
1,140,Kabuto,,,Pedra,Água,15,4,3,5,3,6,
1,141,Kabutops,,,Pedra,Água,30,6,4,6,4,8,
1,142,Aerodactyl,,,Pedra,Voador,40,6,3,4,4,13,
6,142,Aerodactyl,Mega Aerodactyl,,Pedra,Voador,40,7,4,5,5,15,
1,143,Snorlax,,,Normal,,80,6,4,4,6,3,
1,144,Articuno,,,Gelo,Voador,45,5,5,5,7,9,Lendário
8,144,Articuno,Galarian Articuno,,Psíquico,Voador,45,5,7,5,5,10,Lendário
1,145,Zapdos,,,Elétrico,Voador,45,5,7,5,5,10,Lendário
8,145,Zapdos,Galarian Zapdos,,Lutador,Voador,45,7,5,5,5,10,Lendário
1,146,Moltres,,,Fogo,Voador,45,5,7,5,5,9,Lendário
8,146,Moltres,Galarian Moltres,,Sombrio,Voador,45,5,5,5,7,9,Lendário
1,147,Dratini,,,Dragão,,25,4,3,3,3,5,Pseudoendário
1,148,Dragonair,,,Dragão,,35,5,4,4,4,7,Pseudoendário
1,149,Dragonite,,,Dragão,Voador,50,7,5,5,5,8,Pseudoendário
1,150,Mewtwo,,,Psíquico,,55,6,8,5,5,13,Lendário
6,150,Mewtwo,Mega Mewtwo X,,Psíquico,Lutador,55,10,8,5,5,13,Lendário
6,150,Mewtwo,Mega Mewtwo Y,,Psíquico,,55,8,10,4,6,14,Lendário
1,151,Mew,,,Psíquico,,50,5,5,5,5,10,Mítico
2,152,Chikorita,,,Grama,,25,3,3,4,4,5,
2,153,Bayleef,,,Grama,,30,4,4,4,4,6,
2,154,Meganium,,,Grama,,40,5,5,5,5,8,
2,155,Cyndaquil,,,Fogo,,20,3,3,3,3,7,
2,156,Quilava,,,Fogo,,30,4,4,3,4,8,
2,157,Typhlosion,,,Fogo,,40,5,6,4,5,10,
8,157,Typhlosion,Hisuian Typhlosion,,Fogo,Fantasma,40,5,6,4,5,10,
2,158,Totodile,,,Água,,25,4,3,4,3,5,
2,159,Croconaw,,,Água,,35,4,3,4,4,6,
2,160,Feraligatr,,,Água,,45,6,4,5,5,8,
2,161,Sentret,,,Normal,,20,3,2,2,3,2,
2,162,Furret,,,Normal,,45,4,3,4,3,9,
2,163,Hoothoot,,,Normal,Voador,30,2,2,2,3,5,
2,164,Noctowl,,,Normal,Voador,50,3,5,3,5,7,
2,165,Ledyba,,,Inseto,Voador,20,1,2,2,4,6,
2,166,Ledian,,,Inseto,Voador,30,2,3,3,6,9,
2,167,Spinarak,,,Inseto,Venenoso,20,3,2,2,2,3,
2,168,Ariados,,,Inseto,Venenoso,35,5,3,4,4,4,
2,169,Crobat,,,Venenoso,Voador,45,5,4,4,4,13,
2,170,Chinchou,,,Água,Elétrico,40,2,3,2,3,7,
2,171,Lanturn,,,Água,Elétrico,65,3,4,3,4,7,
2,172,Pichu,,,Elétrico,,10,2,2,1,2,6,
2,173,Cleffa,,,Fada,,25,2,3,2,3,2,
2,174,Igglybuff,,,Normal,Fada,45,2,2,1,1,2,
2,175,Togepi,,,Fada,,20,1,2,4,4,2,
2,176,Togetic,,,Fada,Voador,30,2,4,5,6,4,
2,177,Natu,,,Psíquico,Voador,20,3,4,3,3,7,
2,178,Xatu,,,Psíquico,Voador,35,4,5,4,4,10,
2,179,Mareep,,,Elétrico,,30,2,4,2,3,4,
2,180,Flaaffy,,,Elétrico,,35,3,4,3,3,5,
2,181,Ampharos,,,Elétrico,,45,4,6,5,5,6,
6,181,Ampharos,Mega Ampharos,,Elétrico,Dragão,45,5,9,6,6,5,
2,182,Bellossom,,,Grama,,40,4,5,5,5,5,
2,183,Marill,,,Água,Fada,35,1,1,3,3,4,
2,184,Azumarill,,,Água,Fada,50,3,3,4,4,5,
2,185,Sudowoodo,,,Pedra,,35,5,2,6,4,3,
2,186,Politoed,,,Água,,45,4,5,4,5,7,
2,187,Hoppip,,,Grama,Voador,20,2,2,2,3,5,
2,188,Skiploom,,,Grama,Voador,30,3,3,3,4,8,
2,189,Jumpluff,,,Grama,Voador,40,3,3,4,5,11,
2,190,Aipom,,,Normal,,30,4,2,3,3,9,
2,191,Sunkern,,,Grama,,15,2,2,2,2,3,
2,192,Sunflora,,,Grama,,40,4,6,3,5,3,
2,193,Yanma,,,Inseto,Voador,35,4,4,3,3,10,
2,194,Wooper,,,Água,Terra,30,3,2,3,2,2,
9,194,Wooper,Paldean Wooper,,Venenoso,Terra,30,3,2,3,2,2,
2,195,Quagsire,,,Água,Terra,50,5,4,5,4,4,
2,196,Espeon,,,Psíquico,,35,4,7,3,5,11,
2,197,Umbreon,,,Sombrio,,50,4,3,6,7,7,
2,198,Murkrow,,,Sombrio,Voador,30,5,5,3,3,10,
2,199,Slowking,,,Água,Psíquico,50,4,5,4,6,3,
8,199,Slowking,Galarian Slowking,,Venenoso,Psíquico,50,4,6,4,6,3,
2,200,Misdreavus,,,Fantasma,,30,3,5,3,5,9,
2,201,Unown,,,Psíquico,,25,4,4,3,3,5,
2,202,Wobbuffet,,,Psíquico,,95,2,2,3,3,4,
2,203,Girafarig,,,Normal,Psíquico,35,4,5,4,4,9,
2,204,Pineco,,,Inseto,,25,4,2,5,2,2,
2,205,Forretress,,,Inseto,Aço,40,5,3,7,3,4,
2,206,Dunsparce,,,Normal,,50,4,4,4,4,5,
2,207,Gligar,,,Terra,Voador,35,4,2,6,4,9,
2,208,Steelix,,,Aço,Terra,40,5,3,10,4,3,
6,208,Steelix,Mega Steelix,,Aço,Terra,40,7,3,12,5,3,
2,209,Snubbull,,,Fada,,30,4,2,3,2,3,
2,210,Granbull,,,Fada,,45,6,3,4,3,5,
2,211,Qwilfish,,,Água,Venenoso,35,5,3,5,3,9,
8,211,Qwilfish,Hisuian Qwilfish,,Sombrio,Venenoso,35,5,3,5,3,9,
2,212,Scizor,,,Inseto,Aço,35,7,3,5,4,7,
6,212,Scizor,Mega Scizor,,Inseto,Aço,35,8,4,7,5,8,
2,213,Shuckle,,,Inseto,Pedra,10,1,1,12,12,1,
2,214,Heracross,,,Inseto,Lutador,40,7,2,4,5,9,
6,214,Heracross,Mega Heracross,,Inseto,Lutador,40,10,2,6,6,8,
2,215,Sneasel,,,Sombrio,Gelo,30,5,2,3,4,12,
8,215,Sneasel,Hisuian Sneasel,,Lutador,Venenoso,30,5,2,3,4,12,
2,216,Teddiursa,,,Normal,,30,4,3,3,3,4,
2,217,Ursaring,,,Normal,,45,7,4,4,4,6,
2,218,Slugma,,,Fogo,,20,2,4,2,2,2,
2,219,Magcargo,,,Fogo,Pedra,30,3,5,6,4,3,
2,220,Swinub,,,Gelo,Terra,25,3,2,2,2,5,
2,221,Piloswine,,,Gelo,Terra,50,5,3,4,3,5,
2,222,Corsola,,,Água,Pedra,35,3,4,5,5,4,
8,222,Corsola,Galarian Corsola,,Fantasma,,30,3,4,5,5,3,
2,223,Remoraid,,,Água,,20,4,4,2,2,7,
2,224,Octillery,,,Água,,40,6,6,4,4,5,
2,225,Delibird,,,Gelo,Voador,25,3,4,3,3,8,
2,226,Mantine,,,Água,Voador,45,2,4,4,7,7,
2,227,Skarmory,,,Aço,Voador,35,4,2,7,4,7,
2,228,Houndour,,,Sombrio,Fogo,25,3,4,2,3,7,
2,229,Houndoom,,,Sombrio,Fogo,40,5,6,3,4,10,
6,229,Houndoom,Mega Houndoom,,Sombrio,Fogo,40,5,7,5,5,12,
2,230,Kingdra,,,Água,Dragão,40,5,5,5,5,9,
2,231,Phanpy,,,Terra,,45,3,2,3,2,4,
2,232,Donphan,,,Terra,,45,6,3,6,3,5,
2,233,Porygon2,,,Normal,,45,4,6,5,5,6,
2,234,Stantler,,,Normal,,40,5,5,4,4,9,
2,235,Smeargle,,,Normal,,30,1,1,2,3,8,
2,236,Tyrogue,,,Lutador,,20,2,2,2,2,4,
2,237,Hitmontop,,,Lutador,,25,5,2,5,6,7,
2,238,Smoochum,,,Gelo,Psíquico,25,2,5,1,4,7,
2,239,Elekid,,,Elétrico,,25,4,4,2,3,10,
2,240,Magby,,,Fogo,,25,4,4,2,3,9,
2,241,Miltank,,,Normal,,50,4,2,6,4,10,
2,242,Blissey,,,Normal,,130,1,4,1,7,6,
2,243,Raikou,,,Elétrico,,45,5,6,4,5,12,Lendário
2,244,Entei,,,Fogo,,60,6,5,5,4,10,Lendário
2,245,Suicune,,,Água,,50,4,5,6,6,9,Lendário
2,246,Larvitar,,,Pedra,Terra,25,4,3,3,3,5,Pseudoendário
2,247,Pupitar,,,Pedra,Terra,35,5,4,4,4,6,Pseudoendário
2,248,Tyranitar,,,Pedra,Sombrio,50,7,5,6,5,7,Pseudoendário
6,248,Tyranitar,Mega Tyranitar,,Pedra,Sombrio,50,9,5,8,6,8,Pseudoendário
2,249,Lugia,,,Psíquico,Voador,55,5,5,7,8,11,Lendário
2,250,Ho-oh,,,Fogo,Voador,55,7,6,5,8,9,Lendário
2,251,Celebi,,,Psíquico,Grama,50,5,5,5,5,10,Mítico
3,252,Treecko,,,Grama,,20,3,4,2,3,7,
3,253,Grovyle,,,Grama,,25,4,5,3,4,10,
3,254,Sceptile,,,Grama,,35,5,6,4,5,12,
6,254,Sceptile,Mega Sceptile,,Grama,Dragão,35,6,8,4,5,15,
3,255,Torchic,,,Fogo,,25,3,4,2,3,5,
3,256,Combusken,,,Fogo,Lutador,30,5,5,3,3,6,
3,257,Blaziken,,,Fogo,Lutador,40,6,6,4,4,8,
6,257,Blaziken,Mega Blaziken,,Fogo,Lutador,40,8,7,4,4,10,
3,258,Mudkip,,,Água,,25,4,3,3,3,4,
3,259,Marshtomp,,,Água,Terra,35,5,3,4,4,5,
3,260,Swampert,,,Água,Terra,50,6,5,5,5,6,
6,260,Swampert,Mega Swampert,,Água,Terra,50,8,5,6,6,7,
3,261,Poochyena,,,Sombrio,,20,3,2,2,2,4,
3,262,Mightyena,,,Sombrio,,35,5,3,4,3,7,
3,263,Zigzagoon,,,Normal,,20,2,2,3,3,6,
8,263,Zigzagoon,Galarian Zigzagoon,,Sombrio,Normal,20,2,2,3,3,6,
3,264,Linoone,,,Normal,,40,4,3,4,4,10,
8,264,Linoone,Galarian Linoone,,Sombrio,Normal,40,4,3,4,4,10,
3,265,Wurmple,,,Inseto,,25,3,1,2,2,2,
3,266,Silcoon,,,Inseto,,25,2,2,3,2,2,
3,267,Beautifly,,,Inseto,Voador,30,4,5,3,3,7,
3,268,Cascoon,,,Inseto,,25,2,2,3,2,2,
3,269,Dustox,,,Inseto,Venenoso,30,3,3,4,5,7,
3,270,Lotad,,,Água,Grama,20,2,2,2,3,3,
3,271,Lombre,,,Água,Grama,30,3,3,3,4,5,
3,272,Ludicolo,,,Água,Grama,40,4,5,4,5,7,
3,273,Seedot,,,Grama,,20,2,2,3,2,3,
3,274,Nuzleaf,,,Grama,Sombrio,35,4,3,2,2,6,
3,275,Shiftry,,,Grama,Sombrio,45,5,5,3,3,8,
3,276,Taillow,,,Normal,Voador,20,3,2,2,2,9,
3,277,Swellow,,,Normal,Voador,30,5,4,3,3,13,
3,278,Wingull,,,Água,Voador,20,2,3,2,2,9,
3,279,Pelipper,,,Água,Voador,30,3,5,5,4,7,
3,280,Ralts,,,Psíquico,Fada,15,2,3,2,2,4,
3,281,Kirlia,,,Psíquico,Fada,20,2,4,2,3,5,
3,282,Gardevoir,,,Psíquico,Fada,35,4,7,4,6,8,
6,282,Gardevoir,Mega Gardevoir,,Psíquico,Fada,35,5,9,4,7,10,
3,283,Surskit,,,Inseto,Água,20,2,3,2,3,7,
3,284,Masquerain,,,Inseto,Voador,35,3,5,4,5,8,
3,285,Shroomish,,,Grama,,30,2,2,3,3,4,
3,286,Breloom,,,Grama,Lutador,30,7,3,4,3,7,
3,287,Slakoth,,,Normal,,30,3,2,3,2,3,
3,288,Vigoroth,,,Normal,,40,4,3,4,3,9,
3,289,Slaking,,,Normal,,75,8,5,5,4,10,
3,290,Nincada,,,Inseto,Terra,20,3,2,5,2,4,
3,291,Ninjask,,,Inseto,Voador,35,5,3,3,3,16,
3,292,Shedinja,,,Inseto,Fantasma,5,5,2,3,2,4,
3,293,Whismur,,,Normal,,35,3,3,2,2,3,
3,294,Loudred,,,Normal,,45,4,4,3,3,5,
3,295,Exploud,,,Normal,,55,5,5,4,4,7,
3,296,Makuhita,,,Lutador,,40,3,1,2,2,3,
3,297,Hariyama,,,Lutador,,75,6,2,3,3,5,
3,298,Azurill,,,Normal,Fada,25,1,1,2,2,2,
3,299,Nosepass,,,Pedra,,15,3,3,7,5,3,
3,300,Skitty,,,Normal,,25,3,2,3,2,5,
3,301,Delcatty,,,Normal,,35,4,3,4,3,9,
3,302,Sableye,,,Sombrio,Fantasma,25,4,4,4,4,5,
6,302,Sableye,Mega Sableye,,Sombrio,Fantasma,25,5,5,7,6,2,
3,303,Mawile,,,Aço,Fada,25,5,3,5,3,5,
6,303,Mawile,Mega Mawile,,Aço,Fada,25,6,3,7,5,5,
3,304,Aron,,,Aço,Pedra,25,4,2,5,2,3,
3,305,Lairon,,,Aço,Pedra,30,5,3,7,3,4,
3,306,Aggron,,,Aço,Pedra,35,6,3,9,3,5,
6,306,Aggron,Mega Aggron,,Aço,,35,7,3,12,4,5,
3,307,Meditite,,,Lutador,Psíquico,15,2,2,3,3,6,
3,308,Medicham,,,Lutador,Psíquico,30,3,3,4,4,8,
6,308,Medicham,Mega Medicham,,Lutador,Psíquico,30,5,4,5,5,10,
3,309,Electrike,,,Elétrico,,20,3,4,2,2,7,
3,310,Manectric,,,Elétrico,,35,4,6,3,3,11,
6,310,Manectric,Mega Manectric,,Elétrico,,35,4,7,4,4,14,
3,311,Plusle,,,Elétrico,,30,3,5,2,4,10,
3,312,Minun,,,Elétrico,,30,2,4,3,5,10,
3,313,Volbeat,,,Inseto,,35,4,3,4,5,9,
3,314,Illumise,,,Inseto,,35,3,4,4,5,9,
3,315,Roselia,,,Grama,Venenoso,25,3,5,3,4,7,
3,316,Gulpin,,,Venenoso,,35,3,3,3,3,4,
3,317,Swalot,,,Venenoso,,50,4,4,5,5,6,
3,318,Carvanha,,,Água,Sombrio,25,5,4,1,1,7,
3,319,Sharpedo,,,Água,Sombrio,35,6,5,2,2,10,
6,319,Sharpedo,Mega Sharpedo,,Água,Sombrio,35,7,6,4,4,11,
3,320,Wailmer,,,Água,,65,4,4,2,2,6,
3,321,Wailord,,,Água,,85,5,5,3,3,6,
3,322,Numel,,,Fogo,Terra,30,3,4,2,3,4,
3,323,Camerupt,,,Fogo,Terra,35,5,6,4,4,4,
6,323,Camerupt,Mega Camerupt,,Fogo,Terra,35,6,8,5,6,2,
3,324,Torkoal,,,Fogo,,35,5,5,7,4,2,
3,325,Spoink,,,Psíquico,,30,2,4,2,4,6,
