id_venda;id_produto;id_vendedor;id_cliente;data;quantidade;preco_unitario;valor_total
154;8;1;78;02/06/2024;2;117;234
155;9;2;6;03/06/2024;9;97;873
156;5;3;67;04/06/2024;10;158;1580
157;1;1;80;05/06/2024;2;84;168
158;3;2;7;06/06/2024;19;32;608
159;10;3;52;07/06/2024;11;195;2145
160;8;1;14;08/06/2024;13;150;1950
161;6;1;73;09/06/2024;10;158;1580
162;8;2;15;10/06/2024;14;131;1834
163;9;5;21;11/06/2024;18;67;1206
164;4;1;35;12/06/2024;19;114;2166
165;1;1;66;13/06/2024;9;186;1674
166;1;3;91;14/06/2024;7;162;1134
167;10;4;2;15/06/2024;3;121;363
168;4;2;35;16/06/2024;6;50;300
169;7;2;82;17/06/2024;2;138;276
170;2;5;78;18/06/2024;6;76;456
171;3;5;20;19/06/2024;3;113;339
172;1;2;82;20/06/2024;16;112;1792
173;5;5;10;21/06/2024;8;64;512
174;1;3;25;22/06/2024;2;98;196
175;8;2;66;23/06/2024;17;158;2686
176;1;5;25;24/06/2024;9;169;1521
177;1;2;54;25/06/2024;12;56;672
178;2;4;33;26/06/2024;3;85;255
179;2;1;36;27/06/2024;11;52;572
180;6;2;95;28/06/2024;1;182;182
181;7;1;14;29/06/2024;13;50;650
182;5;5;65;30/06/2024;15;90;1350
183;1;1;80;01/07/2024;5;92;460
184;1;2;54;02/07/2024;17;151;2567
185;3;4;52;03/07/2024;6;81;486
186;2;5;3;04/07/2024;11;117;1287
187;5;2;99;05/07/2024;18;182;3276
188;10;5;41;06/07/2024;4;84;336
189;6;3;6;07/07/2024;3;75;225
190;7;1;25;08/07/2024;13;61;793
191;4;3;13;09/07/2024;9;84;756
192;7;2;98;10/07/2024;6;125;750
193;8;4;8;11/07/2024;12;162;1944
194;1;5;21;12/07/2024;2;65;130
195;6;1;98;13/07/2024;3;139;417
196;8;5;68;14/07/2024;3;135;405
197;5;2;25;15/07/2024;12;87;1044
198;4;5;79;16/07/2024;15;68;1020
199;2;1;68;17/07/2024;9;109;981
200;6;2;45;18/07/2024;8;126;1008
201;6;5;60;19/07/2024;11;142;1562
202;1;4;12;20/07/2024;16;90;1440
203;9;2;32;21/07/2024;4;166;664
204;6;2;96;22/07/2024;1;35;35
205;3;4;92;23/07/2024;7;138;966
206;4;3;13;24/07/2024;2;64;128
207;4;1;31;25/07/2024;5;68;340
208;3;3;78;26/07/2024;7;179;1253
209;10;5;20;27/07/2024;4;198;792
210;3;4;18;28/07/2024;5;147;735
211;3;3;93;29/07/2024;1;34;34
212;4;2;60;30/07/2024;1;199;199
213;7;5;63;31/07/2024;15;116;1740
214;4;5;6;01/08/2024;19;105;1995
215;9;3;32;02/08/2024;10;187;1870
216;1;3;93;03/08/2024;18;86;1548
217;8;4;43;04/08/2024;3;156;468
218;7;1;2;05/08/2024;11;58;638
219;2;3;60;06/08/2024;15;194;2910
220;8;3;23;07/08/2024;11;116;1276
221;1;2;83;08/08/2024;17;170;2890
222;9;5;31;09/08/2024;17;189;3213
223;9;1;5;10/08/2024;6;75;450
224;2;2;83;11/08/2024;5;145;725
225;7;4;34;12/08/2024;8;141;1128
226;10;4;10;13/08/2024;2;180;360
227;3;3;89;14/08/2024;16;74;1184
228;7;3;2;15/08/2024;12;174;2088
229;10;4;11;16/08/2024;6;133;798
230;9;3;50;17/08/2024;1;114;114
231;4;1;31;18/08/2024;4;163;652
232;1;3;56;19/08/2024;17;137;2329
233;2;5;79;20/08/2024;13;47;611
234;1;3;73;21/08/2024;18;123;2214
235;5;2;87;22/08/2024;5;179;895
236;5;1;83;23/08/2024;3;62;186
237;7;2;9;24/08/2024;11;187;2057
238;9;2;99;25/08/2024;13;155;2015
239;9;5;21;26/08/2024;4;189;756
240;3;1;73;27/08/2024;14;199;2786
241;3;1;28;28/08/2024;11;151;1661
242;3;1;62;29/08/2024;10;167;1670
243;4;1;7;30/08/2024;19;144;2736
244;8;1;80;31/08/2024;18;193;3474
245;6;5;16;01/09/2024;6;191;1146
246;8;3;97;02/09/2024;15;57;855
247;1;2;4;03/09/2024;10;40;400
248;8;1;4;04/09/2024;5;196;980
249;4;3;40;05/09/2024;5;76;380
250;1;3;17;06/09/2024;10;156;1560
251;8;2;52;07/09/2024;5;176;880
252;4;5;93;08/09/2024;3;147;441
253;6;4;52;09/09/2024;6;172;1032
254;8;4;36;10/09/2024;4;155;620
255;4;3;38;11/09/2024;18;185;3330
256;3;2;50;12/09/2024;9;181;1629
257;9;4;63;13/09/2024;17;101;1717
258;3;3;63;14/09/2024;13;136;1768
259;9;5;62;15/09/2024;15;166;2490
260;2;4;99;16/09/2024;17;62;1054
261;2;3;7;17/09/2024;13;48;624
262;2;3;27;18/09/2024;16;103;1648
263;6;1;92;19/09/2024;4;197;788
264;3;5;86;20/09/2024;5;186;930
265;9;1;14;21/09/2024;5;127;635
266;4;2;71;22/09/2024;9;170;1530
267;1;1;86;23/09/2024;17;158;2686
268;4;1;5;24/09/2024;13;191;2483
269;1;4;55;25/09/2024;2;122;244
270;5;3;2;26/09/2024;13;77;1001
271;4;5;62;27/09/2024;19;93;1767
272;8;1;91;28/09/2024;3;90;270
273;8;5;21;29/09/2024;10;186;1860
274;7;1;79;30/09/2024;2;68;136
275;3;2;21;01/10/2024;13;157;2041
276;1;1;10;02/10/2024;19;117;2223
277;1;4;87;03/10/2024;17;55;935
278;3;3;58;04/10/2024;14;46;644
279;6;2;39;05/10/2024;12;100;1200
280;7;1;5;06/10/2024;12;42;504
281;6;5;65;07/10/2024;11;98;1078
282;6;2;13;08/10/2024;7;55;385
283;6;2;85;09/10/2024;4;78;312
284;3;1;90;10/10/2024;19;36;684
285;6;2;85;11/10/2024;1;87;87
286;8;5;53;12/10/2024;3;78;234
287;2;2;82;13/10/2024;13;132;1716
288;5;5;45;14/10/2024;15;82;1230
289;1;1;32;15/10/2024;2;91;182
290;1;3;36;16/10/2024;11;46;506
291;5;2;81;17/10/2024;4;54;216
292;3;3;99;18/10/2024;19;160;3040
293;4;5;60;19/10/2024;17;58;986
294;3;2;11;20/10/2024;3;146;438
295;1;4;63;21/10/2024;18;189;3402
296;1;3;21;22/10/2024;8;55;440
297;5;2;52;23/10/2024;19;153;2907
298;6;3;55;24/10/2024;5;173;865
299;3;2;26;25/10/2024;7;54;378
300;9;1;68;26/10/2024;8;83;664
301;5;3;34;27/10/2024;5;185;925
302;8;4;52;28/10/2024;17;102;1734
303;1;4;82;29/10/2024;5;149;745
304;5;5;99;30/10/2024;4;85;340
305;3;2;93;31/10/2024;19;94;1786
306;1;3;52;01/11/2024;2;122;244
307;4;5;29;02/11/2024;11;115;1265
308;5;3;38;03/11/2024;13;109;1417
309;7;2;42;04/11/2024;15;198;2970
310;1;4;21;05/11/2024;12;137;1644
311;3;1;42;06/11/2024;11;147;1617
312;2;4;13;07/11/2024;7;186;1302
313;9;5;64;08/11/2024;5;112;560
314;10;1;17;09/11/2024;17;176;2992
315;6;5;9;10/11/2024;9;198;1782
316;10;2;41;11/11/2024;14;44;616
317;3;1;1;12/11/2024;12;160;1920
318;8;5;2;13/11/2024;6;168;1008
319;8;2;60;14/11/2024;17;59;1003
320;2;4;48;15/11/2024;19;86;1634
321;6;2;29;16/11/2024;19;175;3325
322;7;3;97;17/11/2024;16;157;2512
323;2;2;10;18/11/2024;12;77;924
324;10;2;58;19/11/2024;12;165;1980
325;2;3;60;20/11/2024;6;51;306
326;10;5;21;21/11/2024;4;35;140
327;1;5;28;22/11/2024;6;133;798
328;8;2;75;23/11/2024;11;65;715
329;1;3;34;24/11/2024;1;108;108
330;9;3;8;25/11/2024;15;145;2175
331;6;4;59;26/11/2024;11;86;946
332;7;5;86;27/11/2024;19;78;1482
333;10;1;72;28/11/2024;18;111;1998
334;7;5;49;29/11/2024;17;95;1615
335;10;5;79;30/11/2024;19;106;2014
336;3;4;17;01/12/2024;14;74;1036
337;2;1;60;02/12/2024;18;108;1944
338;9;4;87;03/12/2024;19;49;931
339;8;1;88;04/12/2024;15;152;2280
340;10;2;45;05/12/2024;15;96;1440
341;7;1;83;06/12/2024;4;112;448
342;9;4;69;07/12/2024;7;32;224
343;4;5;32;08/12/2024;13;93;1209
344;4;1;44;09/12/2024;3;69;207
345;1;1;65;10/12/2024;16;88;1408
346;8;3;87;11/12/2024;9;91;819
347;3;5;8;12/12/2024;8;161;1288
348;7;2;77;13/12/2024;13;89;1157
349;2;4;72;14/12/2024;17;145;2465
350;2;2;87;15/12/2024;17;104;1768
351;7;5;43;16/12/2024;17;151;2567
352;6;1;1;17/12/2024;1;136;136
353;3;1;51;18/12/2024;8;125;1000
354;9;5;24;19/12/2024;19;120;2280
355;10;1;99;20/12/2024;6;187;1122
356;6;1;24;21/12/2024;3;159;477
357;10;1;17;22/12/2024;5;91;455
358;10;4;5;23/12/2024;13;78;1014
359;6;4;20;24/12/2024;15;166;2490
360;1;3;21;25/12/2024;14;121;1694
361;4;2;58;26/12/2024;16;188;3008
362;10;5;31;27/12/2024;18;153;2754
363;6;5;100;28/12/2024;11;90;990
364;6;5;11;29/12/2024;3;77;231
365;5;3;52;30/12/2024;10;182;1820
366;1;4;15;31/12/2024;10;193;1930
367;8;3;83;01/01/2025;16;165;2640
368;5;5;7;02/01/2025;12;87;1044
369;5;2;28;03/01/2025;2;130;260
370;7;1;51;04/01/2025;9;141;1269
371;4;4;58;05/01/2025;3;91;273
372;6;4;5;06/01/2025;15;68;1020
373;4;3;5;07/01/2025;3;87;261
374;3;4;94;08/01/2025;19;128;2432
375;7;5;96;09/01/2025;18;73;1314
376;8;5;8;10/01/2025;8;58;464
377;4;3;64;11/01/2025;17;88;1496
378;2;5;10;12/01/2025;8;100;800
379;10;2;38;13/01/2025;7;121;847
380;3;3;96;14/01/2025;7;38;266
381;1;2;92;15/01/2025;3;156;468
382;8;1;81;16/01/2025;1;163;163
383;3;2;95;17/01/2025;4;186;744
384;10;1;8;18/01/2025;5;174;870
385;7;1;25;19/01/2025;1;173;173
386;10;2;73;20/01/2025;15;160;2400
387;5;3;66;21/01/2025;5;50;250
388;10;5;79;22/01/2025;13;93;1209
389;5;5;50;23/01/2025;8;119;952
390;7;1;67;24/01/2025;8;65;520
391;9;1;49;25/01/2025;5;91;455
392;5;3;36;26/01/2025;9;199;1791
393;1;4;68;27/01/2025;1;105;105
394;10;2;78;28/01/2025;4;199;796
395;10;1;41;29/01/2025;3;42;126
396;1;5;89;30/01/2025;2;40;80
397;2;3;62;31/01/2025;8;83;664
398;6;2;10;01/02/2025;9;45;405
399;9;3;21;02/02/2025;2;37;74
400;8;2;36;03/02/2025;14;133;1862
401;5;2;12;04/02/2025;14;88;1232
402;1;1;91;05/02/2025;4;86;344
403;7;3;2;06/02/2025;6;69;414
404;5;3;13;07/02/2025;11;159;1749
405;6;5;53;08/02/2025;3;123;369
406;7;5;32;09/02/2025;8;167;1336
407;3;1;95;10/02/2025;3;73;219
408;10;1;16;11/02/2025;14;168;2352
409;3;4;32;12/02/2025;13;109;1417
410;5;5;32;13/02/2025;13;110;1430
411;6;2;98;14/02/2025;2;31;62
412;9;3;11;15/02/2025;13;169;2197
413;5;1;10;16/02/2025;19;144;2736
414;1;3;15;17/02/2025;6;119;714
415;4;3;17;18/02/2025;16;52;832
416;5;4;40;19/02/2025;2;175;350
417;10;5;18;20/02/2025;8;91;728
418;10;1;55;21/02/2025;17;142;2414
419;5;3;73;22/02/2025;2;157;314
420;7;1;25;23/02/2025;10;91;910
421;4;2;59;24/02/2025;16;67;1072
422;1;4;78;25/02/2025;6;195;1170
423;5;2;89;26/02/2025;2;90;180
424;7;1;22;27/02/2025;2;158;316
425;10;1;30;28/02/2025;13;185;2405
426;10;5;84;01/03/2025;15;178;2670
427;6;3;85;02/03/2025;2;151;302
428;5;3;44;03/03/2025;7;139;973
429;4;2;32;04/03/2025;3;42;126
430;2;4;51;05/03/2025;8;184;1472
431;4;3;46;06/03/2025;14;129;1806
432;10;5;21;07/03/2025;7;164;1148
433;10;2;99;08/03/2025;7;51;357
434;3;2;32;09/03/2025;1;103;103
435;10;5;94;10/03/2025;17;161;2737
436;1;4;39;11/03/2025;9;52;468
437;8;5;12;12/03/2025;13;148;1924
438;5;4;47;13/03/2025;19;99;1881
439;4;5;18;14/03/2025;19;113;2147
440;8;5;21;15/03/2025;17;130;2210
441;7;1;13;16/03/2025;10;113;1130
442;2;2;21;17/03/2025;10;190;1900
443;1;5;8;18/03/2025;4;57;228
444;4;5;46;19/03/2025;8;165;1320
445;8;3;7;20/03/2025;18;30;540
446;2;2;23;21/03/2025;14;194;2716
447;3;3;96;22/03/2025;18;92;1656
448;1;2;75;23/03/2025;14;51;714
449;1;3;86;24/03/2025;15;99;1485
450;3;5;22;25/03/2025;4;154;616
451;5;5;89;26/03/2025;13;178;2314
452;3;1;22;27/03/2025;8;125;1000
453;1;3;92;28/03/2025;18;192;3456
454;1;4;29;29/03/2025;12;108;1296
455;8;1;13;30/03/2025;14;34;476
456;10;3;82;31/03/2025;2;89;178
457;2;3;2;01/04/2025;18;149;2682
458;3;1;29;02/04/2025;2;75;150
459;2;5;85;03/04/2025;11;163;1793
460;3;3;79;04/04/2025;9;85;765
461;7;5;52;05/04/2025;12;139;1668
462;1;1;27;06/04/2025;17;186;3162
463;10;5;50;07/04/2025;15;133;1995
464;8;2;95;08/04/2025;17;106;1802
465;10;4;79;09/04/2025;18;175;3150
466;10;3;23;10/04/2025;6;31;186
467;10;4;88;11/04/2025;17;37;629
468;2;5;44;12/04/2025;18;104;1872
469;3;3;77;13/04/2025;8;154;1232
470;9;5;22;14/04/2025;9;67;603
471;7;2;43;15/04/2025;6;56;336
472;4;1;37;16/04/2025;5;49;245
473;10;3;61;17/04/2025;12;169;2028
474;5;2;97;18/04/2025;11;72;792
475;2;2;56;19/04/2025;1;60;60
476;8;3;3;20/04/2025;11;120;1320
477;4;5;63;21/04/2025;19;90;1710
478;9;2;19;22/04/2025;9;138;1242
479;5;4;23;23/04/2025;2;120;240
480;9;2;29;24/04/2025;12;192;2304
481;4;5;30;25/04/2025;4;124;496
482;10;5;39;26/04/2025;4;172;688
483;5;4;25;27/04/2025;18;173;3114
484;9;2;8;28/04/2025;15;42;630
485;8;5;58;29/04/2025;19;142;2698
486;3;3;16;30/04/2025;13;64;832
487;1;1;72;01/05/2025;19;178;3382
488;3;1;1;02/05/2025;17;187;3179
489;4;1;5;03/05/2025;6;77;462
490;2;2;3;04/05/2025;16;64;1024
491;1;4;65;05/05/2025;12;115;1380
492;7;5;4;06/05/2025;19;195;3705
493;8;3;99;07/05/2025;5;188;940
494;7;3;96;08/05/2025;17;181;3077
495;5;2;64;09/05/2025;1;143;143
496;1;1;98;10/05/2025;10;129;1290
497;7;2;89;11/05/2025;15;189;2835
498;7;4;10;12/05/2025;11;128;1408
499;9;4;21;13/05/2025;13;32;416
500;3;5;46;14/05/2025;5;114;570
501;9;5;91;15/05/2025;1;154;154
502;1;4;27;16/05/2025;12;167;2004
503;1;4;66;17/05/2025;11;112;1232
504;4;4;41;18/05/2025;17;54;918
505;9;2;13;19/05/2025;4;97;388
506;6;4;9;20/05/2025;15;90;1350
507;3;3;36;21/05/2025;9;58;522
508;1;1;86;22/05/2025;19;156;2964
509;4;4;90;23/05/2025;19;48;912
510;9;1;58;24/05/2025;12;103;1236
511;3;2;54;25/05/2025;5;90;450
512;9;1;12;26/05/2025;10;182;1820
513;7;2;81;27/05/2025;17;49;833
514;4;3;78;28/05/2025;5;77;385
515;3;2;14;29/05/2025;16;116;1856
516;10;2;34;30/05/2025;7;181;1267
517;5;5;53;31/05/2025;9;168;1512
518;5;4;20;01/06/2025;3;139;417
519;3;4;75;02/06/2025;15;57;855
520;9;3;16;03/06/2025;16;88;1408
521;4;3;95;04/06/2025;18;162;2916
522;5;4;70;05/06/2025;14;80;1120
523;4;5;56;06/06/2025;3;178;534
524;5;4;83;07/06/2025;12;41;492
525;7;5;58;08/06/2025;9;79;711
526;9;3;4;09/06/2025;7;161;1127
527;7;1;4;10/06/2025;9;142;1278
528;5;3;20;11/06/2025;13;199;2587
529;10;3;10;12/06/2025;18;195;3510
530;10;2;24;13/06/2025;5;182;910
531;7;2;99;14/06/2025;13;43;559
532;10;2;26;15/06/2025;4;61;244
533;5;2;37;16/06/2025;2;168;336
534;3;5;85;17/06/2025;16;175;2800
535;7;4;54;18/06/2025;9;184;1656
536;2;1;21;19/06/2025;9;84;756
537;9;3;74;20/06/2025;6;149;894
538;10;5;38;21/06/2025;11;104;1144
539;10;1;46;22/06/2025;1;50;50
540;1;5;4;23/06/2025;4;162;648
541;6;5;60;24/06/2025;13;116;1508
542;7;3;57;25/06/2025;13;198;2574
543;8;4;45;26/06/2025;13;88;1144
544;10;2;20;27/06/2025;2;118;236
545;9;4;17;28/06/2025;9;179;1611
546;2;3;71;29/06/2025;8;112;896
547;10;3;4;30/06/2025;7;94;658
548;2;3;93;01/07/2025;4;93;372
549;5;1;14;02/07/2025;18;100;1800
550;5;4;3;03/07/2025;3;33;99
551;6;4;88;04/07/2025;6;172;1032
552;3;5;80;05/07/2025;12;133;1596
553;8;5;58;06/07/2025;12;179;2148
554;1;5;55;07/07/2025;8;122;976
555;6;3;4;08/07/2025;1;171;171
556;4;4;24;09/07/2025;4;177;708
557;1;3;34;10/07/2025;11;141;1551
558;7;1;30;11/07/2025;3;190;570
559;9;5;82;12/07/2025;13;148;1924
560;4;3;19;13/07/2025;17;88;1496
561;4;3;31;14/07/2025;10;72;720
562;6;1;60;15/07/2025;12;41;492
563;3;2;60;16/07/2025;15;69;1035
564;6;4;19;17/07/2025;10;147;1470
565;7;2;49;18/07/2025;14;49;686
566;10;5;63;19/07/2025;13;195;2535
567;10;3;83;20/07/2025;5;160;800
568;3;1;22;21/07/2025;6;185;1110
569;7;1;24;22/07/2025;2;119;238
570;3;4;76;23/07/2025;17;123;2091
571;2;2;30;24/07/2025;4;42;168
572;10;4;58;25/07/2025;14;95;1330
573;4;3;31;26/07/2025;10;66;660
574;8;4;100;27/07/2025;3;95;285
575;9;1;64;28/07/2025;3;65;195
576;7;1;19;29/07/2025;15;55;825
577;1;5;48;30/07/2025;6;104;624
578;3;5;45;31/07/2025;17;137;2329
579;9;3;100;01/08/2025;12;197;2364
580;1;2;94;02/08/2025;11;72;792
581;9;4;55;03/08/2025;4;179;716
582;8;3;55;04/08/2025;6;177;1062
583;1;5;97;05/08/2025;1;37;37
584;6;4;18;06/08/2025;16;58;928
585;5;5;63;07/08/2025;15;69;1035
586;6;4;92;08/08/2025;17;187;3179
587;10;2;47;09/08/2025;8;157;1256
588;5;3;75;10/08/2025;12;113;1356
589;6;4;57;11/08/2025;10;145;1450
590;5;1;45;12/08/2025;15;173;2595
591;5;1;33;13/08/2025;9;91;819
592;4;4;17;14/08/2025;2;36;72
593;3;4;70;15/08/2025;5;74;370
594;3;4;4;16/08/2025;6;184;1104
595;4;1;20;17/08/2025;7;117;819
596;9;1;47;18/08/2025;1;102;102
597;2;4;91;19/08/2025;7;192;1344
598;9;5;15;20/08/2025;12;66;792
599;1;5;70;21/08/2025;16;148;2368
600;1;2;47;22/08/2025;16;86;1376
601;5;3;78;23/08/2025;11;37;407
602;6;5;75;24/08/2025;4;124;496
603;6;1;9;25/08/2025;13;146;1898
604;3;5;90;26/08/2025;7;139;973
605;7;2;16;27/08/2025;4;49;196
606;9;2;69;28/08/2025;15;153;2295
607;10;3;61;29/08/2025;19;82;1558
608;8;5;10;30/08/2025;9;148;1332
609;6;1;50;31/08/2025;11;41;451
610;8;1;3;01/09/2025;8;46;368
611;5;4;77;02/09/2025;1;93;93
612;8;1;94;03/09/2025;8;71;568
613;10;3;70;04/09/2025;13;123;1599
614;4;3;81;05/09/2025;4;186;744
615;10;1;51;06/09/2025;8;176;1408
616;8;1;19;07/09/2025;3;40;120
617;10;4;42;08/09/2025;9;127;1143
618;2;1;35;09/09/2025;2;100;200
619;5;4;46;10/09/2025;2;137;274
620;9;4;26;11/09/2025;13;87;1131
621;4;1;69;12/09/2025;15;63;945
622;6;2;93;13/09/2025;12;49;588
623;1;2;64;14/09/2025;4;79;316
624;9;4;37;15/09/2025;8;131;1048
625;1;1;84;16/09/2025;9;167;1503
626;5;2;49;17/09/2025;5;189;945
627;4;1;21;18/09/2025;18;81;1458
628;3;1;74;19/09/2025;11;44;484
629;6;1;64;20/09/2025;15;113;1695
630;2;5;5;21/09/2025;9;160;1440
631;3;1;100;22/09/2025;17;66;1122
632;5;5;70;23/09/2025;12;155;1860
633;9;4;90;24/09/2025;7;69;483
634;2;2;4;25/09/2025;10;101;1010
635;10;2;39;26/09/2025;10;69;690
636;8;2;35;27/09/2025;13;85;1105
637;2;2;1;28/09/2025;19;180;3420
638;5;2;24;29/09/2025;11;133;1463
639;7;2;57;30/09/2025;13;168;2184
640;8;2;100;01/10/2025;8;139;1112
641;1;4;70;02/10/2025;8;165;1320
642;6;1;41;03/10/2025;4;122;488
643;1;3;54;04/10/2025;15;123;1845
644;2;5;46;05/10/2025;11;85;935
645;1;3;60;06/10/2025;11;89;979
646;5;3;60;07/10/2025;1;167;167
647;10;1;57;08/10/2025;17;68;1156
