id_venda;id_produto;quantidade;data_venda;vendedor
177;1;2;25/06/2024;Elisa
178;2;6;26/06/2024;Bruno
179;2;9;27/06/2024;Daniel
180;6;8;28/06/2024;Elisa
181;7;5;29/06/2024;Elisa
182;5;1;30/06/2024;Elisa
183;1;7;01/07/2024;Elisa
184;1;5;02/07/2024;Elisa
185;3;6;03/07/2024;Carla
186;2;7;04/07/2024;Daniel
187;5;3;05/07/2024;Elisa
188;10;3;06/07/2024;Daniel
189;6;5;07/07/2024;Carla
190;7;6;08/07/2024;Carla
191;4;9;09/07/2024;Daniel
192;7;5;10/07/2024;Ana
193;8;1;11/07/2024;Bruno
194;1;4;12/07/2024;Ana
195;6;5;13/07/2024;Ana
196;8;5;14/07/2024;Ana
197;5;7;15/07/2024;Elisa
198;4;4;16/07/2024;Carla
199;2;1;17/07/2024;Ana
200;6;5;18/07/2024;Carla
